from,to,value
E02000009,E02005869,1
E02000027,E02005860,2
E02000029,E02005866,1
E02000030,E02005860,1
E02000032,E02005861,2
E02000033,E02005860,1
E02000038,E02005860,3
E02000040,E02005860,1
E02000044,E02005860,1
E02000045,E02005860,2
E02000062,E02005865,1
E02000066,E02005860,1
E02000083,E02005860,1
E02000093,E02005860,1
E02000096,E02005860,2
E02000097,E02005860,1
E02000101,E02005860,1
E02000103,E02005860,1
E02000111,E02005860,1
E02000123,E02005860,1
E02000131,E02005860,1
E02000149,E02005860,1
E02000156,E02005860,1
E02000165,E02005860,2
E02000181,E02005865,1
E02000196,E02005860,1
E02000203,E02005860,1
E02000209,E02005860,1
E02000212,E02005860,1
E02000215,E02005861,2
E02000217,E02005862,1
E02000222,E02005862,4
E02000230,E02005860,3
E02000231,E02005860,2
E02000243,E02005860,1
E02000249,E02005860,1
E02000249,E02005869,5
E02000256,E02005862,1
E02000261,E02005865,1
E02000263,E02005860,1
E02000265,E02005865,1
E02000268,E02005869,1
E02000269,E02005860,2
E02000272,E02005860,1
E02000277,E02005864,2
E02000279,E02005864,1
E02000298,E02005860,1
E02000309,E02005861,1
E02000318,E02005860,1
E02000326,E02005860,1
E02000329,E02005865,1
E02000356,E02005860,1
E02000362,E02005860,1
E02000366,E02005860,3
E02000369,E02005860,1
E02000369,E02005865,1
E02000372,E02005866,1
E02000385,E02005860,1
E02000394,E02005863,1
E02000396,E02005860,1
E02000407,E02005860,1
E02000410,E02005860,1
E02000413,E02005862,1
E02000422,E02005868,4
E02000424,E02005866,3
E02000432,E02005861,1
E02000440,E02005869,1
E02000452,E02005860,1
E02000453,E02005860,2
E02000455,E02005860,1
E02000465,E02005862,1
E02000474,E02005868,1
E02000475,E02005860,1
E02000476,E02005862,1
E02000489,E02005860,1
E02000495,E02005860,1
E02000504,E02005862,3
E02000508,E02005860,1
E02000509,E02005861,2
E02000510,E02005861,1
E02000514,E02005860,1
E02000515,E02005860,1
E02000515,E02005861,3
E02000520,E02005860,3
E02000521,E02005860,7
E02000523,E02005860,3
E02000526,E02005860,1
E02000532,E02005860,3
E02000537,E02005861,5
E02000538,E02005860,2
E02000542,E02005860,1
E02000548,E02005864,1
E02000555,E02005860,1
E02000560,E02005862,1
E02000560,E02005868,2
E02000565,E02005863,1
E02000568,E02005865,1
E02000570,E02005863,2
E02000575,E02005860,1
E02000598,E02005860,1
E02000619,E02005860,3
