from,to,value
E02000009,E02002407,3
E02000022,E02002400,2
E02000023,E02002404,1
E02000024,E02002404,4
E02000026,E02002404,1
E02000027,E02002400,6
E02000027,E02002401,7
E02000030,E02002405,1
E02000042,E02002404,9
E02000048,E02002404,3
E02000050,E02002400,1
E02000051,E02002405,1
E02000057,E02002400,1
E02000057,E02002401,2
E02000057,E02002404,1
E02000068,E02002400,2
E02000090,E02002401,1
E02000103,E02002400,1
E02000104,E02002404,3
E02000124,E02002404,1
E02000137,E02002403,5
E02000150,E02002407,1
E02000159,E02002403,1
E02000183,E02002404,1
E02000187,E02002404,1
E02000196,E02002400,3
E02000199,E02002400,4
E02000210,E02002404,1
E02000215,E02002404,5
E02000240,E02002404,1
E02000253,E02002401,1
E02000260,E02002404,2
E02000270,E02002404,1
E02000300,E02002400,2
E02000312,E02002404,1
E02000318,E02002404,1
E02000344,E02002404,2
E02000353,E02002400,1
E02000353,E02002404,1
E02000361,E02002403,1
E02000372,E02002400,6
E02000372,E02002401,1
E02000372,E02002404,1
E02000372,E02002405,1
E02000372,E02002406,2
E02000373,E02002404,1
E02000374,E02002404,2
E02000410,E02002404,1
E02000413,E02002404,1
E02000415,E02002404,2
E02000417,E02002407,1
E02000424,E02002404,1
E02000434,E02002406,2
E02000437,E02002404,1
E02000449,E02002404,1
E02000453,E02002400,1
E02000454,E02002404,1
E02000456,E02002400,1
E02000457,E02002401,3
E02000468,E02002404,3
E02000477,E02002405,3
E02000481,E02002404,3
E02000496,E02002404,1
E02000508,E02002404,3
E02000517,E02002404,1
E02000523,E02002400,1
E02000531,E02002404,1
E02000556,E02002404,1
E02000574,E02002400,2
E02000574,E02002407,1
E02000575,E02002407,1
E02000584,E02002403,1
E02000603,E02002400,1
E02000604,E02002404,1
E02000606,E02002404,1
E02000614,E02002404,2
E02000619,E02002404,1
E02000624,E02002400,2
E02000627,E02002404,1
E02000627,E02002406,1
E02000628,E02002408,1
E02000631,E02002404,1
E02000633,E02002404,1
E02000640,E02002404,1
E02000645,E02002404,2
E02000653,E02002407,2
E02000654,E02002404,2
E02000657,E02002404,3
E02000663,E02002404,1
E02000663,E02002407,3
E02000668,E02002401,2
E02000670,E02002400,1
E02000674,E02002400,1
E02000677,E02002403,1
E02000679,E02002404,2
E02000700,E02002404,1
E02000711,E02002405,1
E02000716,E02002402,1
E02000725,E02002407,1
E02000740,E02002407,3
E02000755,E02002403,12
E02000757,E02002404,2
E02000762,E02002404,1
E02000776,E02002403,3
E02000782,E02002400,1
E02000785,E02002404,2
E02000799,E02002404,1
E02000803,E02002404,2
E02000805,E02002401,1
E02000813,E02002404,1
E02000815,E02002407,1
E02000823,E02002405,1
E02000830,E02002400,1
E02000831,E02002404,2
E02000839,E02002404,3
E02000843,E02002404,1
E02000844,E02002405,1
