from,to,value
E02000013,E02006478,5
E02000014,E02006470,6
E02000034,E02006477,1
E02000066,E02006475,3
E02000066,E02006479,2
E02000071,E02006477,1
E02000090,E02006472,1
E02000090,E02006478,1
E02000093,E02006476,1
E02000096,E02006479,1
E02000098,E02006477,2
E02000112,E02006479,1
E02000119,E02006479,2
E02000125,E02006477,1
E02000127,E02006476,3
E02000141,E02006470,3
E02000156,E02006473,2
E02000184,E02006479,1
E02000187,E02006473,1
E02000192,E02006477,1
E02000209,E02006477,3
E02000238,E02006476,1
E02000240,E02006476,1
E02000250,E02006478,1
E02000280,E02006470,1
E02000280,E02006472,3
E02000283,E02006470,2
E02000313,E02006476,4
E02000327,E02006470,1
E02000334,E02006475,3
E02000360,E02006476,1
E02000363,E02006479,2
E02000368,E02006476,3
E02000372,E02006470,2
E02000372,E02006472,1
E02000372,E02006476,3
E02000382,E02006478,1
E02000441,E02006470,1
E02000467,E02006471,2
E02000475,E02006476,3
E02000495,E02006476,4
E02000497,E02006472,1
E02000501,E02006474,1
E02000509,E02006472,1
E02000515,E02006473,1
E02000521,E02006476,3
E02000521,E02006477,5
E02000525,E02006472,1
E02000525,E02006479,1
E02000526,E02006477,1
E02000538,E02006476,3
E02000541,E02006479,4
E02000543,E02006479,1
E02000550,E02006475,4
E02000552,E02006478,3
E02000555,E02006479,3
E02000573,E02006479,2
E02000574,E02006478,1
E02000609,E02006473,1
E02000610,E02006474,1
E02000621,E02006474,1
E02000627,E02006479,1
E02000632,E02006471,1
E02000635,E02006474,1
E02000637,E02006472,1
E02000643,E02006473,2
E02000647,E02006470,3
E02000653,E02006472,1
E02000660,E02006479,1
E02000673,E02006479,3
E02000674,E02006474,1
E02000697,E02006475,1
E02000699,E02006477,1
E02000700,E02006475,3
E02000700,E02006479,2
E02000709,E02006472,1
E02000725,E02006476,1
E02000738,E02006479,3
E02000743,E02006476,2
E02000792,E02006470,1
E02000801,E02006473,1
E02000815,E02006471,1
E02000819,E02006473,2
E02000823,E02006479,1
E02000828,E02006479,1
E02000830,E02006477,3
E02000830,E02006479,3
E02000836,E02006479,1
E02000867,E02006475,1
E02000871,E02006473,1
E02000877,E02006472,1
E02000883,E02006472,1
E02000893,E02006470,1
E02000907,E02006470,6
E02000908,E02006476,2
E02000908,E02006477,1
E02000908,E02006478,2
E02000916,E02006476,1
E02000921,E02006477,1
E02000932,E02006474,1
E02000934,E02006470,1
E02000941,E02006475,1
E02000950,E02006473,2
E02000957,E02006475,1
E02001063,E02006471,1
E02001069,E02006479,2
E02001070,E02006475,1
E02001076,E02006474,1
E02001076,E02006475,1
E02001081,E02006478,1
E02001094,E02006470,1
E02001127,E02006470,1
E02001176,E02006470,1
E02001179,E02006478,1
E02001202,E02006473,1
E02001211,E02006470,1
E02001226,E02006473,1
E02001226,E02006476,1
E02001273,E02006479,1
E02001277,E02006470,1
E02001277,E02006477,4
E02001349,E02006476,2
E02001369,E02006473,1
E02001376,E02006472,1
E02001377,E02006473,1
E02001383,E02006470,1
E02001384,E02006471,1
E02001436,E02006477,2
E02001487,E02006479,1
E02001535,E02006479,1
E02001561,E02006473,2
E02001563,E02006477,3
E02001589,E02006473,1
E02001615,E02006475,1
E02001636,E02006477,1
E02001646,E02006477,1
E02001649,E02006471,2
E02001657,E02006471,1
E02001660,E02006478,1
E02001669,E02006474,1
E02001691,E02006475,2
E02001712,E02006478,1
E02001718,E02006477,5
E02001775,E02006470,1
E02001815,E02006470,1
E02001828,E02006471,4
E02001829,E02006471,6
E02001830,E02006471,9
E02001830,E02006473,5
E02001831,E02006471,10
E02001831,E02006472,3
E02001831,E02006475,4
E02001831,E02006478,2
E02001832,E02006471,3
E02001833,E02006474,1
E02001834,E02006473,2
E02001835,E02006471,7
E02001835,E02006473,1
E02001835,E02006475,1
E02001835,E02006478,2
E02001836,E02006471,3
E02001836,E02006473,1
E02001837,E02006472,2
E02001837,E02006479,5
E02001838,E02006470,7
E02001838,E02006471,10
E02001838,E02006473,3
E02001839,E02006472,1
E02001840,E02006478,1
E02001841,E02006471,1
E02001841,E02006472,2
E02001841,E02006474,4
E02001842,E02006473,1
E02001843,E02006474,1
E02001844,E02006471,1
E02001844,E02006472,1
E02001844,E02006473,3
E02001845,E02006473,4
E02001846,E02006470,1
E02001846,E02006471,3
E02001846,E02006473,3
E02001847,E02006470,2
E02001847,E02006472,3
E02001847,E02006474,1
E02001848,E02006471,1
E02001848,E02006478,1
E02001849,E02006470,2
E02001849,E02006473,8
E02001850,E02006477,2
E02001851,E02006470,1
E02001851,E02006471,1
E02001851,E02006473,1
E02001851,E02006474,3
E02001851,E02006476,1
E02001851,E02006479,1
E02001852,E02006471,1
E02001855,E02006471,4
E02001855,E02006473,5
E02001855,E02006476,1
E02001855,E02006478,1
E02001855,E02006479,1
E02001856,E02006473,3
E02001857,E02006470,1
E02001858,E02006475,1
E02001859,E02006479,1
E02001862,E02006479,2
E02001868,E02006471,3
E02001868,E02006473,7
E02001868,E02006474,3
E02001870,E02006473,1
E02001871,E02006471,6
E02001871,E02006473,2
E02001871,E02006476,3
E02001871,E02006478,3
E02001872,E02006470,5
E02001872,E02006473,14
E02001872,E02006479,1
E02001873,E02006470,3
E02001876,E02006471,1
E02001876,E02006476,3
E02001878,E02006473,1
E02001879,E02006479,1
E02001880,E02006471,1
E02001880,E02006472,3
E02001880,E02006473,1
E02001880,E02006474,5
E02001880,E02006476,1
E02001881,E02006476,2
E02001882,E02006471,1
E02001882,E02006472,5
E02001882,E02006473,4
E02001882,E02006474,1
E02001882,E02006477,2
E02001883,E02006471,3
E02001883,E02006472,2
E02001883,E02006473,8
E02001883,E02006477,1
E02001884,E02006473,2
E02001886,E02006475,1
E02001888,E02006470,2
E02001888,E02006472,1
E02001889,E02006473,1
E02001889,E02006479,1
E02001890,E02006473,1
E02001890,E02006474,1
E02001890,E02006476,2
E02001893,E02006470,2
E02001893,E02006473,6
E02001893,E02006476,3
E02001893,E02006477,5
E02001895,E02006470,4
E02001895,E02006471,3
E02001895,E02006472,3
E02001895,E02006473,12
E02001895,E02006474,1
E02001896,E02006476,1
E02001897,E02006470,1
E02001897,E02006475,1
E02001898,E02006470,3
E02001898,E02006471,6
E02001898,E02006473,3
E02001898,E02006474,2
E02001898,E02006476,1
E02001898,E02006478,4
E02001899,E02006477,1
E02001900,E02006471,2
E02001900,E02006475,3
E02001901,E02006470,1
E02001902,E02006471,1
E02001902,E02006477,1
E02001904,E02006473,1
E02001904,E02006477,1
E02001905,E02006473,1
E02001907,E02006471,1
E02001907,E02006472,3
E02001907,E02006473,11
E02001907,E02006474,11
E02001910,E02006479,2
E02001911,E02006470,1
E02001913,E02006474,1
E02001915,E02006474,1
E02001916,E02006471,2
E02001919,E02006477,1
E02001921,E02006472,1
E02001922,E02006472,1
E02001922,E02006473,1
E02001922,E02006474,1
E02001922,E02006475,1
E02001924,E02006474,3
E02001925,E02006478,1
E02001929,E02006470,1
E02001929,E02006471,3
E02001929,E02006473,2
E02001929,E02006476,2
E02001930,E02006473,2
E02001931,E02006476,1
E02001934,E02006471,2
E02001934,E02006479,1
E02001935,E02006478,2
E02001938,E02006473,1
E02001941,E02006470,3
E02001941,E02006472,2
E02001941,E02006476,2
E02001943,E02006472,2
E02001944,E02006473,2
E02001945,E02006470,1
E02001945,E02006472,1
E02001945,E02006479,1
E02001946,E02006471,4
E02001946,E02006473,1
E02001946,E02006479,3
E02001947,E02006471,2
E02001948,E02006476,1
E02001949,E02006476,1
E02001951,E02006476,2
E02001953,E02006475,1
E02001955,E02006476,1
E02001956,E02006473,1
E02001956,E02006474,1
E02001956,E02006475,2
E02001956,E02006479,1
E02001957,E02006473,3
E02001957,E02006477,2
E02001958,E02006472,2
E02001958,E02006473,3
E02001958,E02006475,4
E02001958,E02006476,10
E02001958,E02006477,4
E02001958,E02006478,2
E02001958,E02006479,3
E02001959,E02006472,2
E02001959,E02006474,4
E02001959,E02006475,4
E02001959,E02006476,6
E02001959,E02006478,2
E02001961,E02006472,3
E02001961,E02006473,1
E02001961,E02006474,2
E02001961,E02006475,1
E02001961,E02006476,4
E02001961,E02006477,4
E02001961,E02006479,4
E02001962,E02006470,2
E02001962,E02006472,5
E02001962,E02006475,5
E02001962,E02006476,3
E02001962,E02006477,5
E02001962,E02006479,1
E02001963,E02006470,1
E02001963,E02006471,2
E02001963,E02006472,2
E02001963,E02006474,3
E02001963,E02006475,3
E02001963,E02006476,3
E02001963,E02006478,1
E02001963,E02006479,2
E02001964,E02006470,3
E02001964,E02006472,1
E02001964,E02006475,5
E02001964,E02006476,10
E02001964,E02006477,6
E02001964,E02006479,3
E02001965,E02006470,2
E02001965,E02006472,8
E02001965,E02006475,2
E02001965,E02006476,8
E02001965,E02006478,4
E02001965,E02006479,5
E02001966,E02006475,4
E02001966,E02006479,3
E02001967,E02006470,2
E02001967,E02006472,4
E02001967,E02006473,2
E02001967,E02006474,11
E02001967,E02006477,4
E02001968,E02006472,3
E02001968,E02006474,4
E02001968,E02006475,6
E02001968,E02006476,4
E02001968,E02006477,8
E02001968,E02006478,1
E02001969,E02006474,2
E02001969,E02006476,6
E02001969,E02006477,3
E02001969,E02006479,1
E02001970,E02006474,1
E02001970,E02006475,1
E02001970,E02006476,3
E02001970,E02006478,3
E02001970,E02006479,4
E02001971,E02006472,2
E02001971,E02006474,3
E02001971,E02006476,3
E02001972,E02006472,2
E02001972,E02006473,1
E02001972,E02006474,4
E02001972,E02006476,1
E02001972,E02006477,8
E02001972,E02006478,3
E02001972,E02006479,5
E02001973,E02006472,2
E02001973,E02006475,1
E02001973,E02006476,5
E02001973,E02006479,2
E02001974,E02006470,2
E02001974,E02006474,1
E02001974,E02006476,1
E02001974,E02006478,3
E02001975,E02006472,7
E02001975,E02006475,2
E02001975,E02006476,4
E02001975,E02006477,9
E02001975,E02006478,2
E02001975,E02006479,3
E02001976,E02006470,2
E02001976,E02006472,3
E02001976,E02006474,3
E02001976,E02006475,6
E02001976,E02006476,3
E02001976,E02006477,10
E02001976,E02006479,2
E02001977,E02006472,1
E02001977,E02006474,5
E02001977,E02006475,5
E02001977,E02006476,1
E02001977,E02006478,2
E02001978,E02006475,3
E02001978,E02006476,5
E02001979,E02006476,4
E02001979,E02006479,5
E02001980,E02006470,1
E02001980,E02006472,4
E02001980,E02006473,3
E02001980,E02006474,1
E02001980,E02006475,1
E02001980,E02006476,3
E02001980,E02006477,1
E02001980,E02006478,4
E02001981,E02006470,2
E02001981,E02006471,1
E02001981,E02006477,3
E02001981,E02006479,4
E02001982,E02006472,3
E02001982,E02006473,2
E02001982,E02006474,3
E02001982,E02006475,1
E02001982,E02006477,4
E02001982,E02006478,1
E02001982,E02006479,1
E02001983,E02006474,3
E02001983,E02006475,1
E02001983,E02006476,2
E02001983,E02006478,2
E02001983,E02006479,1
E02001984,E02006471,4
E02001984,E02006474,2
E02001984,E02006475,3
E02001984,E02006477,2
E02001984,E02006478,1
E02001984,E02006479,1
E02001985,E02006470,1
E02001985,E02006473,2
E02001985,E02006474,2
E02001985,E02006476,1
E02001985,E02006478,1
E02001986,E02006470,1
E02001986,E02006472,5
E02001986,E02006474,10
E02001986,E02006475,4
E02001986,E02006476,3
E02001986,E02006479,2
E02001987,E02006470,2
E02001987,E02006472,1
E02001987,E02006473,3
E02001987,E02006474,2
E02001987,E02006475,5
E02001987,E02006476,3
E02001988,E02006472,1
E02001988,E02006474,5
E02001988,E02006475,5
E02001988,E02006476,1
E02001988,E02006477,1
E02001989,E02006475,2
E02001989,E02006476,1
E02001989,E02006477,2
E02001989,E02006479,1
E02001990,E02006472,3
E02001990,E02006474,1
E02001990,E02006475,5
E02001990,E02006476,4
E02001990,E02006477,9
E02001990,E02006479,1
E02001991,E02006478,1
E02001991,E02006479,4
E02001992,E02006472,4
E02001992,E02006473,1
E02001992,E02006474,2
E02001992,E02006475,3
E02001992,E02006476,2
E02001992,E02006477,3
E02001992,E02006479,2
E02001993,E02006472,1
E02001993,E02006473,4
E02001993,E02006474,7
E02001993,E02006478,1
E02001993,E02006479,1
E02001994,E02006473,1
E02001994,E02006474,1
E02001994,E02006475,6
E02001994,E02006476,3
E02001994,E02006477,5
E02001994,E02006478,1
E02001995,E02006470,2
E02001995,E02006475,14
E02001995,E02006478,2
E02001995,E02006479,10
E02001996,E02006470,4
E02001996,E02006472,2
E02001996,E02006474,1
E02001996,E02006476,3
E02001996,E02006478,2
E02001997,E02006473,2
E02001997,E02006477,6
E02001998,E02006473,1
E02001998,E02006476,3
E02001998,E02006477,2
E02001999,E02006470,1
E02001999,E02006473,1
E02001999,E02006478,2
E02002003,E02006478,3
E02002004,E02006474,1
E02002009,E02006472,1
E02002009,E02006473,1
E02002010,E02006476,1
E02002010,E02006479,2
E02002015,E02006475,3
E02002025,E02006473,1
E02002025,E02006477,1
E02002032,E02006474,1
E02002034,E02006476,1
E02002036,E02006479,1
E02002038,E02006471,1
E02002044,E02006471,3
E02002044,E02006476,2
E02002045,E02006478,1
E02002047,E02006473,3
E02002048,E02006474,3
E02002056,E02006470,1
E02002056,E02006471,2
E02002059,E02006473,2
E02002063,E02006476,1
E02002063,E02006479,1
E02002066,E02006473,2
E02002070,E02006477,1
E02002071,E02006479,1
E02002073,E02006473,1
E02002075,E02006472,1
E02002076,E02006470,2
E02002076,E02006472,3
E02002077,E02006471,2
E02002077,E02006476,1
E02002079,E02006471,2
E02002081,E02006471,8
E02002081,E02006472,4
E02002081,E02006473,11
E02002081,E02006474,1
E02002081,E02006478,1
E02002082,E02006470,1
E02002082,E02006471,1
E02002082,E02006473,12
E02002083,E02006470,2
E02002083,E02006471,7
E02002083,E02006472,2
E02002083,E02006473,23
E02002084,E02006470,4
E02002084,E02006471,11
E02002084,E02006472,5
E02002084,E02006473,21
E02002084,E02006474,8
E02002084,E02006479,2
E02002085,E02006470,1
E02002085,E02006471,5
E02002085,E02006473,17
E02002085,E02006474,4
E02002086,E02006470,5
E02002086,E02006471,1
E02002086,E02006472,4
E02002086,E02006473,2
E02002086,E02006474,2
E02002087,E02006471,1
E02002087,E02006473,7
E02002087,E02006477,3
E02002087,E02006478,2
E02002087,E02006479,1
E02002088,E02006470,9
E02002088,E02006471,7
E02002088,E02006472,4
E02002088,E02006473,42
E02002088,E02006474,5
E02002088,E02006476,4
E02002088,E02006477,1
E02002088,E02006479,1
E02002089,E02006471,5
E02002089,E02006472,4
E02002089,E02006473,12
E02002089,E02006474,9
E02002089,E02006475,4
E02002089,E02006478,1
E02002090,E02006473,3
E02002090,E02006477,1
E02002091,E02006470,4
E02002091,E02006476,2
E02002091,E02006478,2
E02002092,E02006473,1
E02002092,E02006474,3
E02002092,E02006476,1
E02002093,E02006475,2
E02002094,E02006473,2
E02002094,E02006474,3
E02002095,E02006471,4
E02002095,E02006473,6
E02002095,E02006474,2
E02002095,E02006475,2
E02002095,E02006476,2
E02002096,E02006473,6
E02002096,E02006478,1
E02002097,E02006471,1
E02002097,E02006472,6
E02002097,E02006473,1
E02002097,E02006474,2
E02002097,E02006475,2
E02002097,E02006476,1
E02002097,E02006478,1
E02002097,E02006479,2
E02002098,E02006471,1
E02002098,E02006473,6
E02002098,E02006479,2
E02002099,E02006471,2
E02002101,E02006471,1
E02002101,E02006478,2
E02002102,E02006476,2
E02002102,E02006478,2
E02002103,E02006470,1
E02002104,E02006474,2
E02002105,E02006470,2
E02002105,E02006473,1
E02002105,E02006474,7
E02002105,E02006478,3
E02002106,E02006470,1
E02002106,E02006472,2
E02002106,E02006473,2
E02002106,E02006474,3
E02002107,E02006470,2
E02002108,E02006472,1
E02002108,E02006474,1
E02002109,E02006471,6
E02002109,E02006472,3
E02002109,E02006473,3
E02002109,E02006474,1
E02002109,E02006475,3
E02002109,E02006478,1
E02002113,E02006471,2
E02002114,E02006470,3
E02002116,E02006474,1
E02002117,E02006475,1
E02002122,E02006478,1
E02002125,E02006474,2
E02002127,E02006476,2
E02002129,E02006472,1
E02002132,E02006473,2
E02002133,E02006473,1
E02002135,E02006479,1
E02002141,E02006478,1
E02002146,E02006479,1
E02002147,E02006474,2
E02002148,E02006472,1
E02002148,E02006479,1
E02002150,E02006479,2
E02002151,E02006471,1
E02002153,E02006470,1
E02002153,E02006472,1
E02002159,E02006470,1
E02002159,E02006475,2
E02002165,E02006470,1
E02002165,E02006474,1
E02002178,E02006476,1
E02002216,E02006479,1
E02002217,E02006479,1
E02002268,E02006475,3
E02002280,E02006476,1
E02002392,E02006475,1
E02002404,E02006473,1
E02002415,E02006470,2
E02002510,E02006477,4
E02002518,E02006476,2
E02002572,E02006479,1
E02002606,E02006474,1
E02002641,E02006470,2
E02002642,E02006471,2
E02002649,E02006470,1
E02002649,E02006478,1
E02002669,E02006479,2
E02002699,E02006472,1
E02002785,E02006475,1
E02002786,E02006477,2
E02002790,E02006470,1
E02002790,E02006472,1
E02002798,E02006475,3
E02002803,E02006475,1
E02002806,E02006478,1
E02002807,E02006477,1
E02002808,E02006473,1
E02002808,E02006476,3
E02002811,E02006475,2
E02002812,E02006478,3
E02002813,E02006476,2
E02002817,E02006470,1
E02002818,E02006474,1
E02002819,E02006476,1
