from,to,value
E02000001,E02004784,2
E02000027,E02004780,1
E02000049,E02004785,1
E02000050,E02004786,1
E02000051,E02004789,1
E02000061,E02004787,1
E02000078,E02004788,1
E02000087,E02004788,2
E02000088,E02004785,1
E02000090,E02004788,1
E02000098,E02004781,3
E02000115,E02004784,1
E02000124,E02004789,2
E02000125,E02004784,1
E02000128,E02004784,1
E02000130,E02004785,1
E02000140,E02004788,2
E02000170,E02004784,2
E02000170,E02004785,1
E02000171,E02004782,5
E02000173,E02004781,4
E02000180,E02004788,1
E02000184,E02004785,1
E02000185,E02004788,1
E02000207,E02004783,3
E02000212,E02004789,1
E02000217,E02004785,1
E02000231,E02004785,2
E02000236,E02004784,2
E02000252,E02004786,1
E02000253,E02004788,3
E02000258,E02004783,1
E02000262,E02004788,2
E02000264,E02004780,1
E02000264,E02004781,1
E02000264,E02004786,1
E02000266,E02004780,2
E02000270,E02004787,2
E02000272,E02004784,2
E02000354,E02004781,1
E02000354,E02004784,1
E02000358,E02004783,1
E02000361,E02004788,1
E02000367,E02004786,1
E02000372,E02004785,1
E02000372,E02004786,1
E02000382,E02004785,2
E02000388,E02004786,1
E02000388,E02004787,2
E02000389,E02004787,1
E02000391,E02004788,2
E02000420,E02004788,1
E02000436,E02004784,2
E02000437,E02004781,3
E02000442,E02004787,1
E02000461,E02004786,1
E02000473,E02004787,2
E02000501,E02004786,1
E02000501,E02004788,5
E02000503,E02004783,1
E02000511,E02004785,2
E02000515,E02004789,1
E02000533,E02004786,1
E02000549,E02004780,1
E02000549,E02004788,4
E02000550,E02004789,1
E02000552,E02004784,1
E02000553,E02004786,2
E02000560,E02004787,5
E02000562,E02004785,4
E02000569,E02004783,2
E02000569,E02004784,3
E02000580,E02004783,1
E02000585,E02004782,1
E02000587,E02004788,1
E02000588,E02004788,1
E02000594,E02004788,1
E02000594,E02004789,1
E02000595,E02004784,2
E02000610,E02004788,3
E02000613,E02004789,1
E02000622,E02004785,4
E02000629,E02004789,1
E02000630,E02004783,1
E02000630,E02004785,1
E02000632,E02004787,1
E02000633,E02004786,2
E02000633,E02004788,2
E02000634,E02004789,1
E02000636,E02004789,1
E02000637,E02004785,1
E02000657,E02004788,1
E02000662,E02004783,2
E02000672,E02004781,1
E02000674,E02004783,1
E02000697,E02004785,1
E02000722,E02004786,3
E02000746,E02004781,1
E02000784,E02004785,6
E02000784,E02004787,3
E02000791,E02004783,1
E02000794,E02004785,1
E02000796,E02004788,1
E02000797,E02004785,2
E02000799,E02004785,2
E02000800,E02004784,4
E02000801,E02004782,1
E02000802,E02004785,5
E02000802,E02004788,1
E02000804,E02004782,2
E02000805,E02004787,1
E02000807,E02004781,1
E02000810,E02004789,1
E02000818,E02004782,1
E02000824,E02004784,1
E02000839,E02004785,3
E02000848,E02004788,2
E02000855,E02004781,2
E02000861,E02004785,2
E02000868,E02004786,2
E02000873,E02004780,1
E02000880,E02004789,1
E02000894,E02004780,1
E02000898,E02004788,1
E02000917,E02004783,2
E02000917,E02004785,1
E02000926,E02004789,1
E02000932,E02004783,2
E02000932,E02004785,2
E02000933,E02004789,1
E02000934,E02004784,1
E02000938,E02004781,4
E02000940,E02004787,1
E02000941,E02004789,1
E02000945,E02004789,1
E02000947,E02004784,2
E02000951,E02004782,1
E02000951,E02004787,2
E02000958,E02004782,1
E02000966,E02004785,2
E02000971,E02004789,2
E02000978,E02004788,1
E02000981,E02004785,1
E02000989,E02004787,1
E02001016,E02004789,1
E02001034,E02004782,2
E02001062,E02004782,1
E02001066,E02004781,1
E02001078,E02004789,1
E02001085,E02004782,1
E02001118,E02004789,1
E02001129,E02004789,2
E02001130,E02004787,4
E02001157,E02004782,5
E02001292,E02004784,1
E02001308,E02004786,1
E02001378,E02004782,2
E02001388,E02004788,1
E02001403,E02004781,1
E02001525,E02004787,3
E02001532,E02004787,1
E02001623,E02004781,1
E02001628,E02004789,1
E02001634,E02004783,1
E02001638,E02004788,1
E02001640,E02004787,1
E02001653,E02004784,1
E02001674,E02004782,1
E02001747,E02004788,1
E02001838,E02004785,1
E02001890,E02004789,1
E02001901,E02004782,1
E02001905,E02004785,2
E02001921,E02004782,4
E02001965,E02004787,1
E02001966,E02004784,1
E02001970,E02004789,2
E02002004,E02004781,2
E02002004,E02004783,4
E02002037,E02004789,1
E02002077,E02004785,2
E02002134,E02004782,3
E02002157,E02004786,1
E02002183,E02004783,1
E02002230,E02004788,1
E02002268,E02004787,1
E02002348,E02004786,1
E02002373,E02004786,1
E02002448,E02004789,1
E02002455,E02004789,1
E02002482,E02004789,1
E02002515,E02004780,1
E02002642,E02004783,1
E02002669,E02004788,1
E02002780,E02004787,1
E02002785,E02004781,1
E02002834,E02004785,1
E02002849,E02004788,1
E02002853,E02004783,1
E02002856,E02004782,1
E02002956,E02004789,1
E02002990,E02004787,1
E02002993,E02004788,1
E02002995,E02004785,1
E02002995,E02004786,1
E02002996,E02004785,1
E02002997,E02004781,1
E02003006,E02004783,1
E02003012,E02004788,1
E02003013,E02004788,1
E02003023,E02004784,2
E02003023,E02004788,4
E02003024,E02004788,1
E02003025,E02004784,3
E02003028,E02004785,1
E02003029,E02004780,1
E02003030,E02004788,2
E02003031,E02004784,1
E02003031,E02004785,1
E02003032,E02004789,2
E02003040,E02004789,1
E02003045,E02004785,2
E02003045,E02004789,1
E02003047,E02004787,1
E02003050,E02004786,1
E02003067,E02004781,2
E02003070,E02004789,1
E02003075,E02004785,1
E02003093,E02004781,2
E02003095,E02004787,1
E02003107,E02004787,1
E02003109,E02004788,1
E02003113,E02004787,1
E02003122,E02004786,1
E02003126,E02004788,1
E02003130,E02004789,1
E02003140,E02004782,1
E02003140,E02004783,1
E02003156,E02004788,1
E02003165,E02004789,1
E02003171,E02004789,1
E02003172,E02004782,2
E02003172,E02004788,2
E02003173,E02004781,1
E02003173,E02004785,1
E02003175,E02004787,1
E02003175,E02004788,1
E02003177,E02004789,4
E02003178,E02004788,2
E02003179,E02004785,2
E02003179,E02004786,1
E02003180,E02004783,1
E02003180,E02004784,1
E02003180,E02004788,1
E02003180,E02004789,1
E02003181,E02004787,1
E02003181,E02004789,1
E02003182,E02004785,1
E02003182,E02004788,5
E02003182,E02004789,1
E02003183,E02004780,1
E02003183,E02004788,7
E02003184,E02004782,1
E02003184,E02004788,3
E02003185,E02004782,1
E02003186,E02004781,1
E02003186,E02004788,3
E02003186,E02004789,3
E02003187,E02004784,2
E02003187,E02004789,2
E02003188,E02004781,5
E02003188,E02004782,1
E02003188,E02004783,1
E02003188,E02004785,4
E02003188,E02004789,1
E02003189,E02004788,3
E02003190,E02004781,1
E02003190,E02004783,1
E02003190,E02004784,1
E02003190,E02004788,1
E02003191,E02004780,2
E02003191,E02004781,1
E02003191,E02004783,2
E02003191,E02004788,2
E02003192,E02004787,1
E02003192,E02004788,5
E02003192,E02004789,2
E02003195,E02004783,1
E02003195,E02004788,3
E02003196,E02004787,3
E02003198,E02004787,1
E02003198,E02004788,1
E02003199,E02004788,1
E02003200,E02004783,1
E02003201,E02004787,2
E02003201,E02004788,2
E02003203,E02004784,1
E02003203,E02004788,2
E02003204,E02004782,2
E02003204,E02004786,1
E02003205,E02004788,1
E02003205,E02004789,2
E02003206,E02004781,4
E02003208,E02004782,1
E02003208,E02004784,1
E02003208,E02004788,1
E02003209,E02004786,1
E02003210,E02004782,2
E02003210,E02004784,3
E02003210,E02004788,4
E02003211,E02004781,1
E02003211,E02004788,2
E02003222,E02004785,1
E02003223,E02004783,1
E02003227,E02004783,4
E02003240,E02004782,4
E02003262,E02004780,2
E02003295,E02004782,2
E02003296,E02004785,1
E02003322,E02004786,1
E02003337,E02004784,2
E02003345,E02004788,2
E02003353,E02004784,3
E02003354,E02004787,1
E02003355,E02004784,2
E02003366,E02004784,1
E02003372,E02004784,3
E02003373,E02004786,2
E02003382,E02004789,1
E02003385,E02004788,1
E02003387,E02004781,1
E02003400,E02004780,1
E02003402,E02004788,1
E02003404,E02004789,1
E02003406,E02004786,1
E02003414,E02004781,2
E02003421,E02004787,2
E02003425,E02004786,2
E02003435,E02004783,1
E02003436,E02004786,3
E02003437,E02004787,2
E02003440,E02004789,1
E02003442,E02004789,1
