from,to,value
E02000742,E02004091,1
E02000985,E02004096,2
E02000985,E02004097,2
E02000986,E02004094,1
E02000988,E02004095,1
E02000988,E02004097,1
E02000989,E02004097,1
E02000991,E02004093,1
E02000993,E02004093,1
E02000993,E02004095,2
E02000994,E02004097,1
E02000995,E02004093,1
E02000998,E02004093,1
E02000999,E02004095,1
E02001000,E02004093,1
E02001002,E02004093,1
E02001004,E02004095,1
E02001011,E02004093,1
E02001015,E02004095,1
E02001016,E02004098,1
E02001017,E02004093,2
E02001019,E02004095,1
E02001023,E02004095,1
E02001024,E02004095,2
E02001024,E02004097,2
E02001026,E02004094,1
E02001026,E02004095,1
E02001029,E02004094,1
E02001030,E02004097,1
E02001031,E02004097,1
E02001033,E02004097,1
E02001038,E02004094,1
E02001040,E02004095,1
E02001040,E02004097,3
E02001040,E02004098,1
E02001041,E02004098,1
E02001046,E02004095,1
E02001046,E02004097,1
E02001047,E02004093,1
E02001047,E02004095,1
E02001047,E02004097,1
E02001048,E02004095,2
E02001048,E02004098,1
E02001049,E02004094,2
E02001049,E02004098,1
E02001050,E02004098,2
E02001051,E02004095,1
E02001052,E02004094,1
E02001052,E02004095,1
E02001052,E02004098,2
E02001053,E02004093,1
E02001053,E02004094,1
E02001053,E02004095,2
E02001053,E02004097,1
E02001053,E02004098,1
E02001055,E02004096,1
E02001056,E02004093,2
E02001056,E02004097,1
E02001056,E02004098,1
E02001059,E02004093,1
E02001059,E02004094,3
E02001059,E02004095,3
E02001059,E02004097,1
E02001059,E02004098,2
E02001061,E02004093,2
E02001061,E02004094,4
E02001061,E02004095,4
E02001061,E02004097,1
E02001062,E02004093,1
E02001062,E02004095,1
E02001063,E02004093,1
E02001063,E02004094,1
E02001063,E02004095,2
E02001063,E02004098,1
E02001064,E02004094,5
E02001064,E02004095,1
E02001065,E02004093,1
E02001065,E02004095,3
E02001066,E02004093,1
E02001066,E02004095,1
E02001066,E02004098,2
E02001067,E02004095,9
E02001067,E02004098,1
E02001068,E02004093,1
E02001068,E02004095,1
E02001068,E02004097,2
E02001069,E02004095,2
E02001070,E02004095,2
E02001072,E02004093,1
E02001072,E02004097,2
E02001073,E02004095,2
E02001074,E02004093,1
E02001074,E02004094,1
E02001074,E02004098,1
E02001075,E02004097,1
E02001077,E02004095,3
E02001077,E02004097,1
E02001078,E02004094,10
E02001079,E02004093,1
E02001079,E02004098,1
E02001080,E02004095,2
E02001080,E02004097,1
E02001081,E02004097,1
E02001083,E02004093,1
E02001083,E02004094,1
E02001084,E02004093,4
E02001084,E02004094,1
E02001084,E02004097,1
E02001085,E02004096,1
E02001086,E02004093,1
E02001086,E02004094,4
E02001086,E02004096,1
E02001087,E02004094,2
E02001087,E02004095,2
E02001087,E02004097,1
E02001088,E02004095,1
E02001088,E02004096,2
E02001089,E02004093,1
E02001089,E02004094,1
E02001091,E02004093,2
E02001093,E02004093,1
E02001093,E02004096,1
E02001094,E02004094,1
E02001095,E02004094,2
E02001096,E02004093,1
E02001096,E02004094,1
E02001096,E02004097,1
E02001097,E02004093,2
E02001098,E02004094,1
E02001098,E02004095,1
E02001099,E02004095,1
E02001100,E02004094,2
E02001101,E02004095,2
E02001102,E02004094,3
E02001103,E02004094,1
E02001103,E02004095,1
E02001104,E02004095,1
E02001104,E02004098,1
E02001105,E02004094,1
E02001106,E02004093,2
E02001106,E02004094,2
E02001107,E02004094,2
E02001107,E02004095,3
E02001109,E02004093,2
E02001109,E02004094,2
E02001110,E02004094,3
E02001110,E02004095,1
E02001110,E02004096,1
E02001111,E02004094,1
E02001111,E02004095,3
E02001112,E02004094,1
E02001112,E02004095,1
E02001113,E02004093,1
E02001113,E02004094,1
E02001113,E02004095,5
E02001114,E02004093,1
E02001114,E02004095,10
E02001115,E02004094,2
E02001115,E02004096,2
E02001116,E02004093,1
E02001117,E02004094,1
E02001117,E02004095,3
E02001117,E02004098,1
E02001118,E02004094,1
E02001118,E02004097,2
E02001119,E02004095,1
E02001119,E02004097,4
E02001121,E02004093,1
E02001121,E02004094,4
E02001123,E02004094,2
E02001123,E02004095,2
E02001124,E02004093,1
E02001124,E02004095,2
E02001124,E02004096,1
E02001125,E02004093,2
E02001125,E02004097,3
E02001126,E02004093,1
E02001126,E02004095,1
E02001127,E02004093,1
E02001128,E02004093,1
E02001128,E02004097,2
E02001129,E02004097,1
E02001130,E02004094,1
E02001130,E02004095,1
E02001130,E02004098,1
E02001131,E02004094,1
E02001131,E02004095,1
E02001132,E02004094,1
E02001132,E02004095,1
E02001132,E02004096,1
E02001133,E02004094,1
E02001134,E02004097,1
E02001135,E02004093,2
E02001135,E02004097,1
E02001137,E02004095,2
E02001138,E02004095,2
E02001139,E02004094,1
E02001139,E02004095,5
E02001140,E02004094,1
E02001142,E02004094,1
E02001143,E02004094,1
E02001143,E02004095,1
E02001144,E02004095,1
E02001145,E02004095,1
E02001146,E02004093,1
E02001146,E02004095,2
E02001147,E02004094,3
E02001149,E02004095,1
E02001150,E02004094,1
E02001151,E02004095,1
E02001151,E02004097,1
E02001151,E02004098,1
E02001152,E02004093,1
E02001152,E02004094,1
E02001153,E02004094,1
E02001154,E02004094,1
E02001154,E02004095,1
E02001156,E02004093,3
E02001156,E02004094,2
E02001156,E02004095,3
E02001156,E02004097,1
E02001158,E02004095,1
E02001160,E02004095,1
E02001160,E02004097,1
E02001162,E02004097,1
E02001163,E02004095,1
E02001165,E02004093,1
E02001166,E02004095,1
E02001168,E02004093,1
E02001168,E02004095,2
E02001169,E02004094,1
E02001169,E02004095,4
E02001170,E02004095,2
E02001173,E02004095,1
E02001175,E02004097,3
E02001176,E02004095,1
E02001181,E02004093,2
E02001182,E02004094,2
E02001183,E02004097,1
E02001186,E02004094,1
E02001186,E02004096,2
E02001187,E02004094,2
E02001187,E02004095,2
E02001187,E02004097,4
E02001188,E02004093,2
E02001188,E02004094,4
E02001188,E02004097,5
E02001188,E02004098,1
E02001189,E02004094,1
E02001189,E02004095,2
E02001189,E02004097,7
E02001189,E02004098,3
E02001190,E02004093,3
E02001190,E02004094,5
E02001190,E02004097,8
E02001191,E02004093,1
E02001191,E02004094,3
E02001191,E02004095,5
E02001191,E02004097,8
E02001191,E02004098,2
E02001192,E02004093,2
E02001192,E02004095,3
E02001192,E02004097,3
E02001193,E02004093,1
E02001193,E02004097,3
E02001194,E02004093,2
E02001194,E02004094,1
E02001195,E02004093,1
E02001195,E02004094,3
E02001195,E02004095,4
E02001195,E02004096,2
E02001195,E02004097,16
E02001196,E02004093,1
E02001196,E02004094,3
E02001196,E02004095,3
E02001196,E02004096,1
E02001196,E02004097,11
E02001196,E02004098,2
E02001197,E02004094,2
E02001197,E02004097,4
E02001197,E02004098,2
E02001198,E02004093,1
E02001198,E02004094,6
E02001198,E02004095,2
E02001198,E02004097,18
E02001199,E02004094,2
E02001199,E02004095,4
E02001199,E02004097,1
E02001200,E02004093,2
E02001200,E02004095,2
E02001200,E02004097,8
E02001200,E02004098,2
E02001201,E02004094,4
E02001201,E02004096,1
E02001201,E02004097,8
E02001201,E02004098,1
E02001202,E02004093,1
E02001202,E02004094,1
E02001202,E02004095,1
E02001202,E02004097,2
E02001202,E02004098,1
E02001203,E02004093,1
E02001203,E02004094,5
E02001203,E02004095,9
E02001203,E02004096,5
E02001203,E02004097,15
E02001203,E02004098,4
E02001204,E02004093,1
E02001204,E02004094,2
E02001204,E02004095,2
E02001204,E02004096,1
E02001204,E02004097,3
E02001205,E02004094,1
E02001205,E02004095,2
E02001205,E02004097,9
E02001206,E02004093,5
E02001206,E02004094,9
E02001206,E02004095,8
E02001206,E02004096,1
E02001206,E02004097,24
E02001206,E02004098,4
E02001207,E02004093,1
E02001207,E02004094,4
E02001207,E02004095,1
E02001207,E02004096,1
E02001207,E02004097,12
E02001207,E02004098,2
E02001208,E02004093,2
E02001208,E02004094,5
E02001208,E02004095,2
E02001208,E02004097,1
E02001209,E02004093,1
E02001209,E02004094,2
E02001209,E02004095,1
E02001209,E02004097,3
E02001209,E02004098,1
E02001210,E02004094,3
E02001210,E02004095,1
E02001210,E02004096,1
E02001210,E02004097,8
E02001210,E02004098,2
E02001211,E02004095,1
E02001211,E02004097,2
E02001212,E02004093,1
E02001212,E02004094,3
E02001212,E02004095,1
E02001212,E02004097,7
E02001213,E02004093,1
E02001213,E02004094,3
E02001213,E02004095,4
E02001213,E02004096,3
E02001213,E02004097,11
E02001213,E02004098,1
E02001214,E02004093,1
E02001214,E02004095,2
E02001214,E02004097,2
E02001215,E02004093,3
E02001215,E02004094,7
E02001215,E02004095,5
E02001215,E02004096,3
E02001215,E02004097,15
E02001215,E02004098,5
E02001216,E02004097,4
E02001217,E02004094,4
E02001217,E02004095,2
E02001217,E02004096,2
E02001217,E02004097,13
E02001217,E02004098,6
E02001218,E02004097,2
E02001219,E02004093,1
E02001219,E02004094,3
E02001219,E02004095,4
E02001219,E02004097,7
E02001219,E02004098,1
E02001220,E02004093,1
E02001220,E02004094,1
E02001220,E02004097,3
E02001220,E02004098,2
E02001221,E02004093,2
E02001221,E02004094,4
E02001221,E02004097,6
E02001222,E02004094,3
E02001222,E02004097,3
E02001222,E02004098,2
E02001223,E02004093,2
E02001223,E02004095,1
E02001223,E02004097,3
E02001223,E02004098,5
E02001224,E02004094,1
E02001224,E02004095,4
E02001224,E02004097,18
E02001224,E02004098,1
E02001225,E02004095,1
E02001225,E02004097,1
E02001226,E02004095,4
E02001226,E02004096,1
E02001226,E02004097,2
E02001226,E02004098,2
E02001227,E02004093,2
E02001227,E02004095,3
E02001227,E02004097,1
E02001227,E02004098,1
E02001228,E02004095,2
E02001228,E02004097,5
E02001229,E02004093,3
E02001229,E02004094,15
E02001229,E02004095,17
E02001229,E02004096,4
E02001229,E02004097,3
E02001230,E02004093,7
E02001230,E02004094,4
E02001230,E02004095,8
E02001230,E02004096,1
E02001231,E02004093,7
E02001231,E02004094,20
E02001231,E02004095,9
E02001231,E02004096,3
E02001231,E02004097,1
E02001231,E02004098,1
E02001232,E02004093,4
E02001232,E02004094,14
E02001232,E02004095,6
E02001232,E02004097,2
E02001232,E02004098,2
E02001233,E02004093,4
E02001233,E02004094,9
E02001233,E02004095,4
E02001233,E02004097,1
E02001234,E02004093,3
E02001234,E02004094,6
E02001234,E02004095,3
E02001234,E02004096,2
E02001235,E02004093,12
E02001235,E02004094,8
E02001235,E02004095,6
E02001235,E02004096,2
E02001235,E02004097,3
E02001235,E02004098,1
E02001236,E02004093,5
E02001236,E02004094,11
E02001236,E02004095,5
E02001236,E02004096,1
E02001236,E02004097,4
E02001236,E02004098,4
E02001237,E02004093,8
E02001237,E02004094,22
E02001237,E02004095,14
E02001237,E02004096,3
E02001237,E02004098,2
E02001238,E02004093,2
E02001238,E02004094,2
E02001238,E02004095,1
E02001238,E02004096,2
E02001238,E02004097,2
E02001239,E02004094,4
E02001239,E02004095,4
E02001239,E02004097,2
E02001240,E02004094,2
E02001240,E02004095,2
E02001240,E02004097,2
E02001241,E02004093,3
E02001241,E02004094,1
E02001241,E02004095,4
E02001242,E02004093,4
E02001242,E02004094,3
E02001242,E02004095,6
E02001243,E02004093,15
E02001243,E02004094,27
E02001243,E02004095,15
E02001243,E02004096,6
E02001243,E02004097,4
E02001244,E02004093,2
E02001244,E02004094,9
E02001244,E02004095,8
E02001244,E02004096,3
E02001245,E02004093,8
E02001245,E02004094,16
E02001245,E02004095,9
E02001245,E02004096,1
E02001245,E02004097,3
E02001246,E02004093,7
E02001246,E02004094,17
E02001246,E02004095,7
E02001246,E02004096,1
E02001246,E02004097,3
E02001246,E02004098,1
E02001247,E02004093,4
E02001247,E02004094,7
E02001247,E02004095,9
E02001247,E02004097,2
E02001248,E02004093,21
E02001248,E02004094,15
E02001248,E02004095,16
E02001248,E02004096,4
E02001248,E02004097,6
E02001248,E02004098,13
E02001249,E02004093,1
E02001249,E02004094,8
E02001249,E02004095,1
E02001249,E02004096,1
E02001249,E02004097,4
E02001250,E02004093,3
E02001250,E02004094,16
