areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E06000001,7853,8289,0,5925,271,0,E06000004,379,E06000047,354,E08000021,162,E06000047,401,E06000004,319,E06000002,163
E06000002,13250,15539,0,8435,2244,0,E06000004,1088,E06000003,817,E08000021,267,E06000004,971,E06000003,939,E08000021,278
E06000003,9863,10268,0,6818,331,0,E06000002,939,E06000004,451,E08000021,170,E06000002,817,E06000004,385,E07000168,184
E06000004,16432,17216,0,10721,853,0,E06000002,971,E06000047,701,E08000021,443,E06000002,1088,E06000003,451,E06000047,448
E06000005,9060,10370,0,6113,518,0,E06000047,609,E06000004,312,E08000021,276,E06000047,700,E06000004,398,E07000166,308
E06000006,9047,9351,0,5836,500,0,E06000007,454,E08000012,435,E06000050,381,E06000007,533,E08000012,389,E06000050,316
E06000007,17888,18456,0,10929,1346,0,E08000013,698,E06000050,587,E06000006,533,E08000009,469,E08000013,462,E06000006,454
E06000008,11964,12559,0,7557,1249,0,E07000120,553,E07000124,423,E08000001,252,E07000120,568,E08000001,522,E08000003,158
E06000009,12727,13242,0,7934,901,0,E07000128,1479,E07000119,828,E07000123,221,E07000128,1054,E07000119,624,E08000003,150
E06000010,27379,29166,0,19348,2012,0,E06000011,3444,E08000035,436,E06000013,339,E06000011,2670,E06000013,394,E06000012,285
E06000011,26940,30519,0,17019,1174,0,E06000010,2670,E06000014,618,E08000035,545,E06000010,3444,E06000014,1093,E08000035,615
E06000012,13364,13892,0,10071,674,0,E07000137,473,E06000013,315,E06000010,285,E07000137,434,E06000013,321,E07000142,203
E06000013,13668,14413,0,9579,888,0,E07000142,462,E06000010,394,E08000017,373,E08000017,373,E06000010,339,E07000142,329
E06000014,28861,34873,0,17750,2563,0,E06000011,1093,E07000169,905,E08000035,892,E08000035,716,E06000011,618,E07000169,447
E06000015,25808,27502,0,15990,2173,0,E07000039,1618,E07000032,786,E07000036,642,E07000039,803,E07000032,724,E07000036,612
E06000016,42226,48179,0,25284,7030,0,E07000130,2045,E07000129,1877,E07000135,1438,E07000135,1479,E07000130,905,E07000129,774
E06000017,3785,4725,0,1345,284,0,E07000141,324,E07000133,135,E06000061,122,E07000141,332,E06000061,189,E06000031,130
E06000018,49601,66019,0,29277,6245,0,E07000176,2232,E07000172,2165,E07000173,2114,E07000172,1838,E07000173,1385,E07000176,1341
E06000019,15980,18159,0,10193,1128,0,E06000051,400,E07000235,323,W06000023,251,E07000080,386,E07000235,379,E06000051,269
E06000020,16531,19463,0,11539,1184,0,E06000051,1470,E08000025,219,E08000031,176,E06000051,1371,E08000031,474,E08000025,315
E06000021,22772,24183,0,14166,1772,0,E07000195,2112,E07000198,1208,E07000197,764,E07000195,1756,E07000198,845,E07000197,520
E06000022,26446,33862,0,14958,2806,0,E06000023,1169,E06000054,1142,E07000187,706,E06000023,1601,E06000025,872,E06000054,803
E06000023,73091,82330,0,44656,6664,0,E06000025,6253,E06000024,2737,E06000022,1601,E06000025,4479,E06000022,1169,E06000024,1160
E06000024,19309,20738,0,12086,1089,0,E06000023,1160,E07000188,709,E06000025,436,E06000023,2737,E06000025,593,E07000188,467
E06000025,27983,31158,0,14069,2096,0,E06000023,4479,E06000022,872,E07000082,643,E06000023,6253,E06000022,607,E06000024,436
