areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
W06000011,100601,104705,38122,46058,0,328,W06000012,7162,W06000010,4072,W06000013,1403,W06000012,9302,W06000010,6726,W06000013,1442
W06000012,59185,56997,20389,20918,0,204,W06000011,9302,W06000013,2871,W06000010,1389,W06000011,7162,W06000013,3446,W06000010,1794
W06000013,63990,61503,23019,26135,0,175,W06000012,3446,W06000015,3196,W06000016,2458,W06000016,3062,W06000012,2871,W06000014,1651
W06000014,59906,56486,27692,16125,0,239,W06000015,10318,W06000013,1651,W06000016,1077,W06000015,5639,W06000016,2230,W06000013,1944
W06000015,160437,179472,75633,60924,0,446,W06000014,5639,W06000022,3864,W06000016,3353,W06000014,10318,W06000016,9914,W06000018,6643
W06000016,103386,91089,38566,37122,0,192,W06000015,9914,W06000018,3413,W06000013,3062,W06000015,3353,W06000018,3293,W06000013,2458
W06000018,77438,67968,29298,24375,0,108,W06000015,6643,W06000022,4563,W06000016,3293,W06000016,3413,W06000019,2450,W06000015,2021
W06000019,28800,22284,8038,9384,0,28,W06000018,2450,W06000021,2206,W06000020,1918,W06000018,1496,W06000024,786,W06000020,657
W06000020,40655,39962,14639,13671,0,58,W06000022,4658,W06000021,2198,W06000015,1290,W06000022,3459,W06000018,1952,W06000019,1918
W06000021,42841,42400,20286,10637,0,134,W06000022,2296,W06000020,1530,E06000025,1326,W06000019,2206,W06000020,2198,W06000022,2077
W06000022,72790,73892,28786,24755,0,159,W06000015,5166,W06000020,3459,W06000021,2077,W06000020,4658,W06000018,4563,W06000015,3864
W06000023,61724,59248,28715,23592,0,131,E06000051,2660,E06000019,1086,W06000021,649,E06000051,1589,W06000012,749,E06000019,722
W06000024,25631,25382,8742,8983,0,45,W06000016,2201,W06000018,1644,W06000015,1156,W06000016,2982,W06000018,1759,W06000019,957
