from,to,value
E06000001,E08000010,4
E06000001,E08000012,2
E06000001,E08000014,1
E06000001,E08000016,1
E06000001,E08000017,5
E06000001,E08000018,6
E06000001,E08000019,1
E06000002,E08000010,1
E06000002,E08000011,3
E06000002,E08000012,5
E06000002,E08000013,1
E06000002,E08000014,2
E06000002,E08000016,3
E06000002,E08000017,6
E06000002,E08000018,2
E06000002,E08000019,16
E06000003,E08000010,1
E06000003,E08000011,1
E06000003,E08000012,3
E06000003,E08000014,6
E06000003,E08000016,11
E06000003,E08000017,22
E06000003,E08000018,9
E06000003,E08000019,3
E06000004,E08000010,7
E06000004,E08000011,2
E06000004,E08000012,6
E06000004,E08000014,1
E06000004,E08000015,1
E06000004,E08000016,10
E06000004,E08000017,23
E06000004,E08000018,3
E06000004,E08000019,18
E06000005,E08000010,3
E06000005,E08000012,1
E06000005,E08000013,1
E06000005,E08000015,4
E06000005,E08000016,4
E06000005,E08000017,5
E06000005,E08000018,4
E06000005,E08000019,11
E06000006,E08000010,244
E06000006,E08000011,1913
E06000006,E08000012,3074
E06000006,E08000013,1104
E06000006,E08000014,311
E06000006,E08000015,368
E06000006,E08000018,6
E06000006,E08000019,5
E06000007,E08000010,1395
E06000007,E08000011,980
E06000007,E08000012,1746
E06000007,E08000013,1891
E06000007,E08000014,289
E06000007,E08000015,256
E06000007,E08000016,2
E06000007,E08000017,8
E06000007,E08000018,6
E06000007,E08000019,14
E06000008,E08000010,208
E06000008,E08000011,22
E06000008,E08000012,55
E06000008,E08000013,37
E06000008,E08000014,47
E06000008,E08000015,3
E06000008,E08000016,5
E06000008,E08000017,4
E06000008,E08000018,4
E06000008,E08000019,3
E06000009,E08000010,47
E06000009,E08000011,12
E06000009,E08000012,62
E06000009,E08000013,12
E06000009,E08000014,31
E06000009,E08000015,11
E06000009,E08000018,2
E06000009,E08000019,1
E06000010,E08000010,3
E06000010,E08000011,1
E06000010,E08000012,17
E06000010,E08000015,11
E06000010,E08000016,15
E06000010,E08000017,176
E06000010,E08000018,19
E06000010,E08000019,41
E06000011,E08000010,5
E06000011,E08000011,5
E06000011,E08000012,10
E06000011,E08000013,3
E06000011,E08000014,3
E06000011,E08000016,58
E06000011,E08000017,895
E06000011,E08000018,88
E06000011,E08000019,109
E06000012,E08000010,6
E06000012,E08000011,1
E06000012,E08000012,3
E06000012,E08000013,5
E06000012,E08000014,3
E06000012,E08000015,6
E06000012,E08000016,11
E06000012,E08000017,144
E06000012,E08000018,15
E06000012,E08000019,26
E06000013,E08000010,4
E06000013,E08000012,6
E06000013,E08000014,1
E06000013,E08000015,5
E06000013,E08000016,54
E06000013,E08000017,1917
E06000013,E08000018,161
E06000013,E08000019,180
E06000014,E08000010,3
E06000014,E08000011,1
E06000014,E08000012,7
E06000014,E08000013,1
E06000014,E08000014,8
E06000014,E08000015,4
E06000014,E08000016,32
E06000014,E08000017,126
E06000014,E08000018,34
E06000014,E08000019,63
E06000015,E08000011,1
E06000015,E08000012,8
E06000015,E08000013,3
E06000015,E08000014,2
E06000015,E08000015,1
E06000015,E08000016,14
E06000015,E08000017,27
E06000015,E08000018,46
E06000015,E08000019,119
E06000016,E08000010,2
E06000016,E08000011,3
E06000016,E08000012,13
E06000016,E08000013,2
E06000016,E08000014,4
E06000016,E08000015,4
E06000016,E08000016,3
E06000016,E08000017,9
E06000016,E08000018,15
E06000016,E08000019,29
E06000017,E08000014,1
E06000017,E08000016,1
E06000017,E08000017,8
E06000017,E08000019,3
E06000018,E08000010,6
E06000018,E08000011,2
E06000018,E08000012,8
E06000018,E08000013,4
E06000018,E08000014,11
E06000018,E08000015,18
E06000018,E08000016,20
E06000018,E08000017,40
E06000018,E08000018,41
E06000018,E08000019,121
E06000019,E08000011,1
E06000019,E08000012,2
E06000019,E08000013,1
E06000019,E08000014,1
E06000019,E08000015,2
E06000019,E08000017,4
E06000019,E08000019,1
E06000020,E08000010,1
E06000020,E08000011,2
E06000020,E08000012,13
E06000020,E08000014,1
E06000020,E08000015,7
E06000020,E08000017,1
E06000020,E08000019,9
E06000021,E08000010,13
E06000021,E08000011,13
E06000021,E08000012,29
E06000021,E08000013,5
E06000021,E08000014,14
E06000021,E08000015,7
E06000021,E08000016,15
E06000021,E08000017,7
E06000021,E08000018,5
E06000021,E08000019,15
E06000022,E08000010,1
E06000022,E08000011,1
E06000022,E08000012,1
E06000022,E08000014,2
E06000022,E08000015,1
E06000022,E08000019,2
E06000023,E08000010,1
E06000023,E08000012,7
E06000023,E08000016,1
E06000023,E08000017,1
E06000023,E08000018,1
E06000023,E08000019,9
E06000024,E08000012,2
E06000024,E08000016,2
E06000024,E08000017,3
E06000025,E08000015,1
E06000025,E08000016,5
E06000025,E08000017,5
E06000025,E08000019,2
E06000026,E08000012,3
E06000026,E08000013,4
E06000026,E08000014,3
E06000026,E08000017,4
E06000026,E08000018,1
E06000026,E08000019,1
E06000027,E08000011,1
E06000027,E08000012,3
E06000027,E08000019,1
E06000030,E08000012,1
E06000030,E08000013,2
E06000030,E08000014,2
E06000030,E08000015,2
E06000030,E08000016,3
E06000030,E08000017,4
E06000030,E08000018,2
E06000031,E08000010,1
E06000031,E08000012,2
E06000031,E08000013,1
E06000031,E08000017,15
E06000031,E08000018,2
E06000031,E08000019,6
E06000032,E08000012,2
E06000032,E08000013,2
E06000032,E08000014,1
E06000032,E08000015,14
E06000032,E08000016,3
E06000032,E08000018,1
E06000032,E08000019,7
E06000033,E08000010,1
E06000033,E08000012,3
E06000033,E08000013,1
E06000033,E08000015,1
E06000033,E08000016,3
E06000033,E08000017,1
E06000033,E08000019,2
E06000034,E08000010,1
E06000034,E08000011,1
E06000034,E08000013,1
E06000034,E08000014,2
E06000034,E08000017,6
E06000034,E08000018,2
E06000035,E08000011,3
E06000035,E08000012,4
E06000035,E08000013,3
E06000035,E08000014,1
E06000035,E08000015,5
E06000035,E08000017,1
E06000035,E08000018,2
E06000035,E08000019,3
E06000036,E08000012,2
E06000036,E08000014,1
E06000036,E08000017,1
E06000036,E08000019,2
E06000037,E08000010,1
E06000037,E08000012,2
E06000037,E08000017,6
E06000037,E08000019,2
E06000038,E08000010,2
E06000038,E08000012,3
E06000038,E08000014,1
E06000038,E08000015,1
E06000038,E08000019,4
E06000039,E08000012,3
E06000039,E08000013,1
E06000039,E08000017,1
E06000040,E08000015,1
E06000041,E08000010,1
E06000041,E08000012,1
