from,to,value
E02000002,E02002414,1
E02000005,E02002411,1
E02000012,E02002411,1
E02000016,E02002411,2
E02000016,E02002416,1
E02000054,E02002411,1
E02000057,E02002414,2
E02000059,E02002410,1
E02000061,E02002411,1
E02000061,E02002419,1
E02000065,E02002415,2
E02000088,E02002416,1
E02000122,E02002417,1
E02000170,E02002411,3
E02000174,E02002411,2
E02000181,E02002411,2
E02000201,E02002411,2
E02000204,E02002411,2
E02000221,E02002414,3
E02000225,E02002411,5
E02000239,E02002414,2
E02000243,E02002411,1
E02000250,E02002414,1
E02000272,E02002418,2
E02000277,E02002418,1
E02000289,E02002416,1
E02000300,E02002410,1
E02000308,E02002411,1
E02000314,E02002414,1
E02000319,E02002411,1
E02000331,E02002411,1
E02000372,E02002410,1
E02000372,E02002411,1
E02000397,E02002411,2
E02000404,E02002419,1
E02000410,E02002416,1
E02000413,E02002411,1
E02000415,E02002414,1
E02000422,E02002410,3
E02000465,E02002412,2
E02000467,E02002414,1
E02000479,E02002410,1
E02000534,E02002411,1
E02000538,E02002411,3
E02000538,E02002414,2
E02000555,E02002414,1
E02000564,E02002411,2
E02000566,E02002411,1
E02000568,E02002412,1
E02000579,E02002411,1
E02000595,E02002414,1
E02000599,E02002417,1
E02000600,E02002411,2
E02000608,E02002419,1
E02000610,E02002414,1
E02000610,E02002417,1
E02000619,E02002411,1
E02000621,E02002411,2
E02000625,E02002411,3
E02000632,E02002411,1
E02000636,E02002417,1
E02000647,E02002411,3
E02000654,E02002415,1
E02000657,E02002410,1
E02000657,E02002411,1
E02000659,E02002411,2
E02000680,E02002419,1
E02000687,E02002410,1
E02000687,E02002415,1
E02000713,E02002411,1
E02000714,E02002411,2
E02000720,E02002415,1
E02000742,E02002411,1
E02000743,E02002414,1
E02000755,E02002416,4
E02000755,E02002417,6
E02000760,E02002411,1
E02000770,E02002411,1
E02000783,E02002415,1
E02000816,E02002412,1
E02000816,E02002414,2
E02000854,E02002415,1
E02000875,E02002411,1
E02000882,E02002416,1
E02000901,E02002410,1
E02000902,E02002411,1
E02000907,E02002411,1
E02000916,E02002411,1
E02000921,E02002418,1
E02000925,E02002411,2
E02000926,E02002410,2
E02000931,E02002411,1
E02000932,E02002411,1
E02000940,E02002412,1
E02000944,E02002419,1
E02000947,E02002411,1
E02000949,E02002412,1
E02000951,E02002411,2
E02000955,E02002411,1
E02000957,E02002415,1
E02000967,E02002410,1
E02000975,E02002411,1
E02000976,E02002411,1
E02000983,E02002411,1
E02000994,E02002414,1
E02001001,E02002411,6
E02001005,E02002415,1
E02001034,E02002412,1
E02001041,E02002411,3
E02001051,E02002415,1
E02001063,E02002410,1
E02001068,E02002411,2
E02001069,E02002410,2
E02001069,E02002412,1
E02001069,E02002414,4
E02001070,E02002411,1
E02001070,E02002414,1
E02001070,E02002415,1
E02001076,E02002416,1
E02001079,E02002411,1
E02001080,E02002412,1
E02001087,E02002411,3
E02001091,E02002412,1
E02001099,E02002419,1
E02001109,E02002416,1
E02001116,E02002415,1
E02001128,E02002415,1
E02001131,E02002418,2
E02001134,E02002419,1
E02001138,E02002411,2
E02001177,E02002418,1
E02001179,E02002412,1
E02001194,E02002411,1
E02001200,E02002415,3
E02001202,E02002412,1
E02001218,E02002411,1
E02001220,E02002411,1
E02001222,E02002410,2
E02001231,E02002411,1
E02001262,E02002411,1
E02001265,E02002411,1
E02001269,E02002411,1
E02001269,E02002412,1
E02001270,E02002417,1
E02001271,E02002411,1
E02001293,E02002419,1
E02001301,E02002411,1
E02001307,E02002411,1
E02001327,E02002410,1
E02001338,E02002414,1
E02001341,E02002418,1
E02001342,E02002412,3
E02001372,E02002410,1
E02001373,E02002411,1
E02001377,E02002417,1
E02001380,E02002411,1
E02001381,E02002414,1
E02001384,E02002411,1
E02001384,E02002416,1
E02001394,E02002411,1
E02001398,E02002416,4
E02001406,E02002411,1
E02001413,E02002418,3
E02001443,E02002414,1
