from,to,value
E02000001,E02003520,3
E02000001,E02003521,1
E02000001,E02003522,4
E02000003,E02003522,3
E02000005,E02003520,1
E02000013,E02003520,1
E02000018,E02003527,2
E02000024,E02003520,2
E02000034,E02003522,3
E02000035,E02003520,3
E02000038,E02003520,1
E02000038,E02003521,3
E02000038,E02003522,2
E02000041,E02003522,1
E02000043,E02003521,1
E02000045,E02003520,1
E02000046,E02003521,1
E02000047,E02003520,1
E02000048,E02003520,1
E02000050,E02003521,2
E02000050,E02003522,1
E02000052,E02003520,1
E02000057,E02003523,2
E02000057,E02003524,1
E02000058,E02003522,1
E02000059,E02003520,1
E02000062,E02003520,1
E02000068,E02003520,1
E02000080,E02003522,1
E02000083,E02003520,1
E02000089,E02003521,1
E02000100,E02003522,3
E02000106,E02003520,1
E02000106,E02003522,1
E02000110,E02003522,1
E02000112,E02003522,2
E02000114,E02003522,1
E02000115,E02003521,1
E02000116,E02003520,2
E02000119,E02003520,1
E02000124,E02003523,3
E02000125,E02003522,3
E02000126,E02003520,1
E02000126,E02003521,1
E02000126,E02003523,1
E02000130,E02003520,6
E02000132,E02003520,1
E02000133,E02003521,3
E02000134,E02003522,1
E02000134,E02003525,1
E02000137,E02003520,1
E02000137,E02003523,2
E02000138,E02003520,2
E02000139,E02003520,1
E02000140,E02003520,1
E02000141,E02003521,1
E02000144,E02003520,1
E02000150,E02003521,1
E02000153,E02003520,1
E02000153,E02003521,1
E02000158,E02003521,1
E02000160,E02003523,1
E02000163,E02003520,1
E02000166,E02003520,1
E02000167,E02003521,1
E02000168,E02003520,1
E02000170,E02003520,1
E02000172,E02003523,1
E02000172,E02003525,1
E02000173,E02003521,2
E02000173,E02003522,3
E02000174,E02003520,2
E02000175,E02003520,1
E02000175,E02003522,2
E02000177,E02003520,2
E02000180,E02003521,2
E02000180,E02003527,1
E02000181,E02003521,1
E02000181,E02003523,1
E02000181,E02003526,1
E02000183,E02003522,2
E02000184,E02003520,4
E02000184,E02003521,1
E02000184,E02003522,2
E02000184,E02003523,1
E02000186,E02003522,16
E02000187,E02003523,1
E02000192,E02003521,2
E02000193,E02003520,2
E02000193,E02003523,2
E02000197,E02003523,2
E02000199,E02003523,3
E02000200,E02003523,3
E02000201,E02003521,1
E02000204,E02003520,1
E02000207,E02003522,3
E02000207,E02003525,1
E02000212,E02003520,1
E02000213,E02003520,2
E02000213,E02003522,2
E02000215,E02003522,1
E02000216,E02003521,2
E02000216,E02003523,2
E02000217,E02003520,3
E02000222,E02003521,1
E02000229,E02003525,2
E02000230,E02003523,2
E02000231,E02003521,1
E02000232,E02003520,1
E02000235,E02003521,1
E02000235,E02003523,1
E02000237,E02003520,2
E02000237,E02003523,1
