from,to,value
E02000069,E02001564,1
E02000246,E02001560,1
E02000251,E02001564,1
E02000401,E02001560,3
E02000404,E02001560,3
E02000421,E02001560,3
E02000432,E02001560,1
E02000529,E02001566,1
E02000530,E02001566,1
E02000535,E02001566,1
E02000576,E02001560,1
E02000578,E02001560,2
E02000579,E02001560,1
E02000608,E02001566,1
E02000633,E02001566,2
E02000645,E02001560,1
E02000700,E02001560,1
E02000722,E02001566,1
E02000729,E02001566,2
E02000806,E02001560,2
E02000808,E02001566,1
E02000895,E02001560,1
E02001016,E02001566,2
E02001062,E02001568,1
E02001063,E02001568,1
E02001066,E02001568,1
E02001068,E02001568,2
E02001076,E02001560,4
E02001078,E02001568,1
E02001080,E02001560,1
E02001087,E02001565,1
E02001104,E02001560,1
E02001104,E02001569,1
E02001115,E02001566,1
E02001117,E02001566,1
E02001130,E02001566,1
E02001140,E02001560,3
E02001149,E02001565,1
E02001150,E02001560,1
E02001205,E02001564,3
E02001255,E02001566,1
E02001292,E02001560,1
E02001303,E02001560,1
E02001367,E02001562,1
E02001368,E02001560,1
E02001374,E02001566,1
E02001405,E02001560,1
E02001468,E02001566,1
E02001474,E02001566,1
E02001484,E02001560,1
E02001487,E02001566,1
E02001491,E02001560,1
E02001495,E02001566,2
E02001500,E02001566,2
E02001509,E02001560,6
E02001509,E02001562,1
E02001509,E02001564,1
E02001509,E02001566,7
E02001509,E02001567,1
E02001509,E02001568,4
E02001509,E02001569,4
E02001510,E02001560,4
E02001510,E02001561,1
E02001510,E02001565,2
E02001510,E02001566,6
E02001510,E02001567,1
E02001510,E02001569,2
E02001511,E02001560,9
E02001511,E02001564,3
E02001511,E02001566,3
E02001511,E02001567,2
E02001511,E02001568,1
E02001511,E02001569,6
E02001512,E02001560,3
E02001512,E02001565,1
E02001512,E02001566,16
E02001512,E02001568,3
E02001512,E02001569,1
E02001513,E02001560,4
E02001513,E02001566,6
E02001513,E02001568,2
E02001513,E02001569,4
E02001514,E02001560,9
E02001514,E02001564,5
E02001514,E02001565,1
E02001514,E02001566,11
E02001514,E02001567,2
E02001514,E02001568,2
E02001514,E02001569,2
E02001515,E02001560,9
E02001515,E02001566,4
E02001515,E02001568,1
E02001515,E02001569,2
E02001516,E02001560,13
E02001516,E02001564,2
E02001516,E02001566,3
E02001516,E02001567,2
E02001516,E02001568,2
E02001516,E02001569,3
E02001517,E02001560,7
E02001517,E02001564,1
E02001517,E02001566,7
E02001517,E02001569,1
E02001518,E02001560,9
E02001518,E02001565,2
E02001518,E02001566,8
E02001518,E02001568,2
E02001518,E02001569,5
E02001519,E02001560,8
E02001519,E02001561,1
E02001519,E02001564,1
E02001519,E02001565,1
E02001519,E02001566,9
E02001519,E02001567,3
E02001519,E02001568,3
E02001519,E02001569,4
E02001520,E02001560,17
E02001520,E02001566,4
E02001520,E02001567,2
E02001520,E02001568,1
E02001520,E02001569,5
E02001521,E02001560,17
E02001521,E02001564,1
E02001521,E02001565,3
E02001521,E02001566,6
E02001521,E02001567,1
E02001521,E02001568,1
E02001521,E02001569,7
E02001522,E02001560,35
E02001522,E02001561,4
E02001522,E02001562,1
E02001522,E02001564,3
E02001522,E02001566,38
E02001522,E02001567,2
E02001522,E02001568,11
E02001522,E02001569,23
E02001523,E02001560,5
E02001523,E02001564,1
