from,to,value
E06000001,E07000180,4
E06000001,E07000181,6
E06000001,E07000188,6
E06000001,E07000189,2
E06000002,E07000180,2
E06000002,E07000181,7
E06000002,E07000188,5
E06000002,E07000189,2
E06000003,E07000180,5
E06000003,E07000181,6
E06000003,E07000189,6
E06000004,E07000180,4
E06000004,E07000181,16
E06000004,E07000188,2
E06000004,E07000189,6
E06000005,E07000180,1
E06000005,E07000181,13
E06000005,E07000187,3
E06000005,E07000188,3
E06000005,E07000189,2
E06000006,E07000180,2
E06000006,E07000181,3
E06000006,E07000188,5
E06000007,E07000180,8
E06000007,E07000181,11
E06000007,E07000188,3
E06000007,E07000189,5
E06000008,E07000180,1
E06000008,E07000181,6
E06000008,E07000187,2
E06000008,E07000188,1
E06000008,E07000189,9
E06000009,E07000180,2
E06000009,E07000181,20
E06000009,E07000188,1
E06000010,E07000180,3
E06000010,E07000181,9
E06000010,E07000187,2
E06000010,E07000188,2
E06000010,E07000189,9
E06000011,E07000180,10
E06000011,E07000181,12
E06000011,E07000187,2
E06000011,E07000188,4
E06000011,E07000189,28
E06000012,E07000180,2
E06000012,E07000181,6
E06000012,E07000187,1
E06000012,E07000188,1
E06000012,E07000189,6
E06000013,E07000180,8
E06000013,E07000181,10
E06000013,E07000188,1
E06000013,E07000189,5
E06000014,E07000180,4
E06000014,E07000181,8
E06000014,E07000187,2
E06000014,E07000189,4
E06000015,E07000180,7
E06000015,E07000181,9
E06000015,E07000187,2
E06000015,E07000188,1
E06000015,E07000189,5
E06000016,E07000180,6
E06000016,E07000181,7
E06000016,E07000187,4
E06000016,E07000189,2
E06000017,E07000180,1
E06000017,E07000181,1
E06000017,E07000187,1
E06000017,E07000189,1
E06000018,E07000180,12
E06000018,E07000181,7
E06000018,E07000187,2
E06000018,E07000188,16
E06000018,E07000189,3
E06000019,E07000180,15
E06000019,E07000181,35
E06000019,E07000187,1
E06000019,E07000188,5
E06000019,E07000189,2
E06000020,E07000180,5
E06000020,E07000181,22
E06000020,E07000187,3
E06000020,E07000189,5
E06000021,E07000180,8
E06000021,E07000181,6
E06000021,E07000187,4
E06000021,E07000188,7
E06000021,E07000189,10
E06000022,E07000180,13
E06000022,E07000181,18
E06000022,E07000187,2364
E06000022,E07000188,141
E06000022,E07000189,151
E06000023,E07000180,15
E06000023,E07000181,38
E06000023,E07000187,278
E06000023,E07000188,298
E06000023,E07000189,104
E06000024,E07000180,7
E06000024,E07000181,17
E06000024,E07000187,322
E06000024,E07000188,2538
E06000024,E07000189,113
E06000025,E07000180,20
E06000025,E07000181,31
E06000025,E07000187,110
E06000025,E07000188,136
E06000025,E07000189,48
E06000026,E07000180,8
E06000026,E07000181,34
E06000026,E07000187,10
E06000026,E07000188,29
E06000026,E07000189,67
E06000027,E07000180,5
E06000027,E07000181,10
E06000027,E07000187,2
E06000027,E07000188,21
E06000027,E07000189,15
E06000030,E07000180,1799
E06000030,E07000181,875
E06000030,E07000187,8
E06000030,E07000188,8
E06000030,E07000189,19
E06000031,E07000180,3
E06000031,E07000181,5
E06000031,E07000187,2
E06000031,E07000188,2
E06000031,E07000189,3
E06000032,E07000180,11
E06000032,E07000181,8
E06000032,E07000187,5
E06000032,E07000189,2
E06000033,E07000180,1
E06000033,E07000181,2
E06000033,E07000189,2
E06000034,E07000180,4
E06000034,E07000181,2
E06000034,E07000187,2
E06000034,E07000189,5
E06000035,E07000180,6
E06000035,E07000181,3
E06000035,E07000187,2
E06000035,E07000188,1
E06000035,E07000189,5
E06000036,E07000180,31
E06000036,E07000181,5
E06000036,E07000187,3
E06000036,E07000188,1
E06000036,E07000189,6
E06000037,E07000180,681
E06000037,E07000181,76
E06000037,E07000187,4
E06000037,E07000188,2
E06000037,E07000189,5
E06000038,E07000180,340
E06000038,E07000181,28
E06000038,E07000187,8
E06000038,E07000188,4
E06000038,E07000189,5
E06000039,E07000180,34
E06000039,E07000181,5
E06000039,E07000187,2
E06000039,E07000188,1
E06000039,E07000189,5
E06000040,E07000180,39
E06000040,E07000181,13
E06000040,E07000187,1
E06000040,E07000188,1
E06000040,E07000189,2
E06000041,E07000180,126
E06000041,E07000181,21
E06000041,E07000189,2
E06000042,E07000180,22
E06000042,E07000181,33
E06000042,E07000187,7
E06000042,E07000188,2
E06000042,E07000189,5
E06000043,E07000180,7
E06000043,E07000181,5
E06000043,E07000189,5
E06000044,E07000180,8
E06000044,E07000181,9
E06000044,E07000187,3
E06000044,E07000188,1
E06000044,E07000189,29
E06000045,E07000180,20
E06000045,E07000181,8
E06000045,E07000187,9
E06000045,E07000188,8
E06000045,E07000189,32
E06000046,E07000180,1
E06000046,E07000181,4
E06000046,E07000187,1
E06000046,E07000188,1
E06000046,E07000189,2
E06000047,E07000180,3
E06000047,E07000181,12
E06000047,E07000187,4
E06000047,E07000188,3
E06000047,E07000189,26
E06000049,E07000180,13
E06000049,E07000181,15
E06000049,E07000187,2
E06000049,E07000189,9
E06000050,E07000180,5
E06000050,E07000181,13
E06000050,E07000187,2
E06000050,E07000189,11
E06000051,E07000180,10
E06000051,E07000181,41
E06000051,E07000187,8
E06000051,E07000188,4
E06000051,E07000189,18
E06000052,E07000180,17
E06000052,E07000181,57
E06000052,E07000187,29
E06000052,E07000188,26
E06000052,E07000189,62
E06000053,E07000189,1
E06000054,E07000180,381
E06000054,E07000181,338
E06000054,E07000187,2096
E06000054,E07000188,35
E06000054,E07000189,395
E06000055,E07000180,4
E06000055,E07000181,14
E06000055,E07000189,2
E06000056,E07000180,26
E06000056,E07000181,22
E06000056,E07000187,4
E06000057,E07000180,8
E06000057,E07000181,18
E06000057,E07000187,2
E06000057,E07000189,11
E06000058,E07000180,23
E06000058,E07000181,21
E06000058,E07000187,16
E06000058,E07000188,6
E06000058,E07000189,90
E06000059,E07000180,13
E06000059,E07000181,26
E06000059,E07000187,196
E06000059,E07000188,35
E06000059,E07000189,3451
E06000060,E07000180,288
E06000060,E07000181,202
E06000060,E07000187,7
E06000060,E07000188,4
E06000060,E07000189,13
E06000061,E07000180,23
E06000061,E07000181,32
E06000061,E07000187,5
E06000061,E07000188,1
E06000061,E07000189,5
E06000062,E07000180,145
E06000062,E07000181,269
E06000062,E07000188,1
E06000062,E07000189,6
E07000008,E07000180,1
E07000008,E07000181,3
E07000009,E07000180,1
E07000009,E07000181,2
E07000009,E07000187,2
E07000009,E07000189,3
E07000010,E07000180,3
E07000010,E07000181,1
E07000010,E07000189,4
E07000011,E07000180,8
E07000011,E07000181,14
E07000011,E07000187,4
E07000011,E07000189,4
E07000012,E07000180,7
E07000012,E07000181,3
E07000012,E07000187,2
E07000026,E07000188,2
E07000027,E07000181,2
E07000027,E07000189,10
E07000028,E07000181,2
E07000028,E07000187,4
E07000028,E07000188,10
E07000028,E07000189,4
E07000029,E07000180,1
E07000029,E07000188,2
E07000030,E07000180,2
E07000030,E07000181,3
E07000030,E07000189,1
E07000031,E07000181,6
E07000031,E07000187,2
E07000031,E07000189,2
E07000032,E07000180,1
E07000032,E07000181,6
E07000032,E07000188,1
E07000032,E07000189,4
E07000033,E07000181,3
E07000033,E07000188,3
E07000033,E07000189,4
E07000034,E07000181,4
E07000034,E07000189,7
E07000035,E07000180,1
E07000035,E07000181,1
E07000035,E07000188,1
E07000035,E07000189,3
E07000036,E07000180,1
E07000036,E07000181,4
E07000036,E07000187,2
E07000037,E07000181,10
E07000037,E07000187,1
E07000037,E07000189,1
E07000038,E07000181,5
E07000038,E07000187,2
E07000038,E07000188,3
E07000038,E07000189,2
E07000039,E07000180,5
E07000039,E07000181,11
E07000039,E07000187,2
E07000039,E07000188,3
E07000039,E07000189,3
E07000040,E07000180,6
E07000040,E07000181,25
E07000040,E07000187,25
E07000040,E07000188,73
E07000040,E07000189,610
E07000041,E07000181,21
E07000041,E07000187,13
E07000041,E07000188,66
E07000041,E07000189,68
E07000042,E07000180,2
E07000042,E07000181,8
E07000042,E07000187,13
E07000042,E07000188,179
E07000042,E07000189,96
E07000043,E07000181,17
E07000043,E07000187,3
E07000043,E07000188,32
E07000043,E07000189,22
E07000044,E07000180,2
E07000044,E07000181,10
E07000044,E07000187,3
E07000044,E07000188,12
E07000044,E07000189,10
E07000045,E07000180,2
E07000045,E07000181,20
E07000045,E07000187,3
E07000045,E07000188,30
E07000045,E07000189,30
E07000046,E07000180,4
E07000046,E07000181,10
E07000046,E07000188,13
E07000046,E07000189,8
E07000047,E07000181,5
E07000047,E07000187,2
E07000047,E07000188,5
E07000047,E07000189,12
E07000061,E07000181,3
E07000062,E07000180,1
E07000062,E07000181,5
E07000062,E07000189,1
E07000063,E07000180,3
E07000063,E07000181,8
E07000063,E07000188,1
E07000063,E07000189,5
E07000064,E07000181,4
E07000065,E07000180,3
E07000065,E07000181,2
E07000065,E07000187,1
E07000065,E07000189,3
E07000066,E07000180,2
E07000066,E07000187,1
E07000066,E07000188,2
E07000066,E07000189,1
E07000067,E07000180,1
E07000067,E07000187,2
E07000067,E07000188,2
E07000067,E07000189,7
E07000068,E07000188,1
E07000068,E07000189,1
E07000069,E07000181,1
E07000069,E07000187,1
E07000069,E07000189,3
E07000070,E07000181,2
E07000070,E07000187,1
E07000070,E07000189,2
E07000071,E07000180,6
E07000071,E07000181,6
E07000071,E07000187,2
E07000071,E07000189,3
E07000072,E07000181,1
E07000072,E07000187,1
E07000072,E07000188,2
E07000072,E07000189,4
E07000073,E07000180,1
E07000073,E07000181,1
E07000073,E07000189,4
E07000074,E07000181,2
E07000074,E07000189,1
E07000075,E07000187,1
E07000075,E07000189,2
E07000076,E07000181,2
E07000077,E07000180,3
E07000077,E07000181,3
E07000077,E07000187,1
E07000077,E07000189,1
E07000078,E07000180,34
E07000078,E07000181,232
E07000078,E07000187,6
E07000078,E07000188,3
E07000078,E07000189,5
E07000079,E07000180,255
E07000079,E07000181,1249
E07000079,E07000187,6
E07000079,E07000188,4
E07000079,E07000189,2
E07000080,E07000180,10
E07000080,E07000181,36
E07000080,E07000187,2
E07000080,E07000188,4
E07000080,E07000189,3
E07000081,E07000180,12
E07000081,E07000181,94
E07000081,E07000187,9
E07000081,E07000188,10
E07000081,E07000189,13
E07000082,E07000180,32
E07000082,E07000181,65
E07000082,E07000187,3
E07000082,E07000188,14
E07000082,E07000189,5
E07000083,E07000180,23
E07000083,E07000181,137
E07000083,E07000187,1
E07000083,E07000188,3
E07000083,E07000189,8
E07000084,E07000180,114
E07000084,E07000181,18
E07000084,E07000187,4
E07000084,E07000189,10
E07000085,E07000180,4
E07000085,E07000181,6
E07000085,E07000187,1
E07000085,E07000188,2
E07000085,E07000189,8
E07000086,E07000180,11
E07000086,E07000181,6
E07000086,E07000187,2
E07000086,E07000188,2
E07000086,E07000189,9
E07000087,E07000180,9
E07000087,E07000181,3
E07000087,E07000187,3
E07000087,E07000188,1
E07000087,E07000189,39
E07000088,E07000180,6
E07000088,E07000181,10
E07000088,E07000187,2
E07000088,E07000189,21
E07000089,E07000180,13
E07000089,E07000181,12
E07000089,E07000187,3
E07000089,E07000189,3
E07000090,E07000180,6
E07000090,E07000181,3
