from,to,value
E02000022,E02003761,4
E02000025,E02003762,2
E02000027,E02003761,1
E02000028,E02003765,2
E02000029,E02003769,3
E02000033,E02003764,1
E02000033,E02003768,2
E02000033,E02003769,2
E02000036,E02003760,1
E02000041,E02003762,1
E02000043,E02003763,1
E02000043,E02003767,2
E02000046,E02003765,2
E02000046,E02003766,1
E02000048,E02003764,1
E02000049,E02003760,4
E02000051,E02003764,3
E02000058,E02003764,1
E02000061,E02003765,1
E02000063,E02003761,1
E02000064,E02003768,1
E02000077,E02003768,3
E02000080,E02003764,1
E02000082,E02003766,2
E02000085,E02003760,1
E02000085,E02003762,1
E02000093,E02003761,1
E02000095,E02003760,3
E02000102,E02003760,1
E02000102,E02003762,1
E02000104,E02003761,1
E02000107,E02003764,1
E02000111,E02003760,1
E02000122,E02003760,1
E02000122,E02003763,1
E02000127,E02003764,3
E02000130,E02003765,1
E02000132,E02003765,2
E02000134,E02003768,2
E02000138,E02003766,1
E02000144,E02003768,1
E02000154,E02003762,2
E02000156,E02003769,2
E02000163,E02003769,1
E02000166,E02003762,1
E02000168,E02003761,1
E02000171,E02003760,1
E02000182,E02003767,4
E02000183,E02003766,4
E02000187,E02003769,1
E02000188,E02003769,1
E02000193,E02003769,1
E02000194,E02003768,2
E02000195,E02003762,3
E02000199,E02003767,4
E02000215,E02003760,1
E02000215,E02003764,1
E02000224,E02003762,4
E02000227,E02003762,1
E02000230,E02003760,1
E02000234,E02003764,3
E02000241,E02003761,1
E02000242,E02003760,2
E02000249,E02003769,1
E02000253,E02003767,3
E02000254,E02003768,1
E02000256,E02003761,1
E02000260,E02003763,1
E02000261,E02003764,2
E02000262,E02003765,1
E02000268,E02003763,6
E02000268,E02003765,2
E02000277,E02003764,1
E02000278,E02003767,2
E02000279,E02003762,1
E02000281,E02003768,2
E02000281,E02003769,2
E02000283,E02003767,1
E02000284,E02003763,3
E02000286,E02003764,1
E02000289,E02003769,2
E02000291,E02003767,2
E02000295,E02003764,2
E02000296,E02003762,2
E02000296,E02003768,2
E02000298,E02003766,1
E02000298,E02003769,1
E02000303,E02003763,2
E02000305,E02003765,1
E02000305,E02003766,2
E02000309,E02003760,2
E02000313,E02003764,2
E02000314,E02003769,2
E02000318,E02003764,2
E02000333,E02003764,1
E02000342,E02003764,1
E02000342,E02003768,1
E02000354,E02003762,1
E02000362,E02003769,3
E02000369,E02003760,1
E02000369,E02003763,1
E02000369,E02003764,3
E02000370,E02003764,3
E02000372,E02003764,2
E02000372,E02003765,1
E02000372,E02003769,4
E02000379,E02003765,1
E02000384,E02003761,1
E02000387,E02003764,1
E02000388,E02003765,2
E02000392,E02003767,1
E02000403,E02003769,2
E02000410,E02003766,3
E02000410,E02003767,1
E02000412,E02003764,1
E02000413,E02003766,1
E02000413,E02003768,3
E02000415,E02003767,1
E02000418,E02003762,5
E02000419,E02003762,1
E02000419,E02003764,2
E02000420,E02003767,1
E02000426,E02003761,1
E02000426,E02003769,3
E02000427,E02003760,1
E02000429,E02003769,1
E02000432,E02003764,2
E02000445,E02003766,1
E02000449,E02003769,1
E02000452,E02003763,1
E02000460,E02003762,2
E02000461,E02003764,1
E02000465,E02003764,1
E02000466,E02003766,2
E02000467,E02003760,2
E02000469,E02003764,1
E02000473,E02003764,2
E02000474,E02003767,4
E02000479,E02003764,1
E02000480,E02003768,2
E02000481,E02003769,2
E02000482,E02003769,4
E02000483,E02003760,2
E02000484,E02003765,1
E02000489,E02003766,1
E02000499,E02003762,1
E02000499,E02003766,2
E02000503,E02003762,2
E02000508,E02003761,1
E02000508,E02003762,1
E02000515,E02003769,1
E02000526,E02003761,1
E02000529,E02003769,1
E02000531,E02003768,1
E02000539,E02003762,1
E02000539,E02003764,2
E02000547,E02003765,1
E02000556,E02003760,1
E02000556,E02003768,1
E02000559,E02003762,2
E02000560,E02003769,3
E02000561,E02003764,2
E02000561,E02003766,2
E02000564,E02003764,4
E02000564,E02003766,1
E02000564,E02003768,1
E02000567,E02003763,1
E02000568,E02003768,1
E02000568,E02003769,1
E02000570,E02003767,4
E02000573,E02003763,1
E02000574,E02003760,1
E02000574,E02003767,1
E02000578,E02003764,2
E02000583,E02003767,1
E02000585,E02003767,3
E02000595,E02003768,1
E02000596,E02003763,1
E02000596,E02003766,1
E02000600,E02003762,1
E02000600,E02003769,5
E02000602,E02003764,1
E02000604,E02003760,1
E02000605,E02003769,1
E02000614,E02003769,2
E02000615,E02003768,1
E02000619,E02003762,1
E02000619,E02003767,1
E02000621,E02003762,1
E02000622,E02003768,1
E02000624,E02003766,1
E02000626,E02003766,1
E02000629,E02003767,3
E02000632,E02003767,1
E02000632,E02003768,1
E02000634,E02003762,1
E02000645,E02003760,1
E02000646,E02003762,2
E02000653,E02003764,2
E02000653,E02003765,1
E02000658,E02003766,1
E02000660,E02003768,1
E02000666,E02003767,1
E02000666,E02003768,1
E02000668,E02003764,2
E02000670,E02003762,1
E02000671,E02003760,2
E02000673,E02003766,1
E02000681,E02003761,1
E02000682,E02003762,1
E02000682,E02003764,2
E02000691,E02003768,2
E02000692,E02003768,1
E02000693,E02003762,2
E02000694,E02003764,3
E02000694,E02003766,2
E02000700,E02003760,4
E02000713,E02003769,1
E02000719,E02003760,1
E02000719,E02003769,4
E02000720,E02003765,1
E02000721,E02003764,4
E02000725,E02003764,2
E02000728,E02003760,1
E02000729,E02003761,2
E02000731,E02003766,2
E02000734,E02003762,1
E02000738,E02003768,1
E02000741,E02003764,4
E02000751,E02003762,2
E02000755,E02003764,5
E02000757,E02003762,1
E02000757,E02003765,1
E02000772,E02003763,1
E02000774,E02003763,1
E02000794,E02003767,1
E02000798,E02003764,1
E02000801,E02003764,2
E02000803,E02003765,2
E02000805,E02003764,10
E02000807,E02003764,2
E02000808,E02003768,2
E02000812,E02003765,1
E02000812,E02003767,1
E02000815,E02003766,1
E02000819,E02003768,2
E02000821,E02003766,2
E02000823,E02003768,1
E02000828,E02003768,1
E02000829,E02003764,1
E02000834,E02003769,1
E02000836,E02003761,1
E02000837,E02003764,2
E02000850,E02003766,5
E02000855,E02003762,1
E02000861,E02003768,4
E02000867,E02003764,1
E02000867,E02003768,2
E02000870,E02003764,1
E02000873,E02003760,1
E02000873,E02003764,1
E02000877,E02003767,1
E02000880,E02003764,1
E02000882,E02003764,1
E02000883,E02003761,1
E02000893,E02003762,1
E02000894,E02003763,1
E02000894,E02003764,1
E02000894,E02003766,1
E02000896,E02003760,5
E02000896,E02003769,1
E02000898,E02003762,2
E02000903,E02003764,2
E02000906,E02003768,1
E02000908,E02003767,1
E02000908,E02003768,1
E02000909,E02003765,1
E02000911,E02003761,2
E02000917,E02003767,1
E02000918,E02003764,6
E02000919,E02003762,1
E02000919,E02003765,1
E02000919,E02003768,2
E02000921,E02003767,1
E02000936,E02003762,1
E02000938,E02003768,3
E02000939,E02003762,3
E02000940,E02003769,3
E02000941,E02003768,2
E02000947,E02003768,1
E02000948,E02003769,4
E02000949,E02003761,1
E02000949,E02003765,1
E02000950,E02003764,2
E02000952,E02003762,2
E02000952,E02003765,3
E02000952,E02003769,2
E02000953,E02003764,1
E02000954,E02003769,3
E02000959,E02003766,4
E02000961,E02003769,1
E02000964,E02003763,1
E02000970,E02003762,2
E02000976,E02003764,2
E02000981,E02003766,3
E02001019,E02003765,3
E02001030,E02003765,1
E02001066,E02003768,1
E02001080,E02003765,1
E02001080,E02003767,2
E02001089,E02003762,2
E02001092,E02003766,1
E02001099,E02003764,3
E02001104,E02003764,2
E02001105,E02003769,1
E02001106,E02003764,1
E02001113,E02003764,1
E02001128,E02003760,1
E02001134,E02003762,5
E02001243,E02003760,1
E02001259,E02003764,2
E02001259,E02003765,2
E02001292,E02003767,2
E02001299,E02003761,1
E02001333,E02003765,1
E02001377,E02003763,1
E02001388,E02003763,4
E02001394,E02003764,1
E02001398,E02003769,2
E02001408,E02003769,1
E02001414,E02003768,1
E02001437,E02003762,2
E02001441,E02003764,2
E02001442,E02003764,1
E02001489,E02003761,3
E02001490,E02003762,2
