areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E02000001,1563,2302,0,176,548,0,E02000808,28,E02000576,25,E02000981,25,E02000575,49,E02000878,35,E02000884,32
E02000002,607,543,0,18,52,0,E02000490,27,E02000003,16,E02000014,14,E02000012,18,E02006799,17,E02006924,16
E02000003,1214,1053,0,71,126,0,E02006800,32,E02006799,22,E02000005,21,E02006800,43,E02007018,25,E02007020,18
E02000004,561,570,0,19,39,0,E02000480,51,E02000005,17,E02000781,11,E02000021,16,E02000016,13,E02000017,13
E02000005,987,944,0,63,89,0,E02000009,29,E02000491,22,E02000008,20,E02000491,37,E02000008,30,E02000009,30
E02000007,987,833,0,37,74,0,E02000014,34,E02000008,32,E02000009,32,E02000022,47,E02000010,30,E02000011,27
E02000008,1107,956,0,44,69,0,E02000005,30,E02000476,22,E02006799,22,E02006799,38,E02006800,33,E02000007,32
E02000009,1155,1096,0,77,150,0,E02000005,30,E02000013,26,E02000016,24,E02000007,32,E02000016,31,E02000005,29
E02000010,860,695,0,25,50,0,E02000007,30,E02000013,24,E02000008,17,E02000014,34,E02000015,21,E02000009,19
E02000011,671,565,0,7,94,0,E02000112,33,E02000007,27,E02000014,15,E02000007,17,E02000014,16,E02000005,13
E02000012,936,772,0,86,150,0,E02000018,28,E02006799,27,E02000017,26,E02000017,31,E02000020,18,E02000009,14
E02000013,821,742,0,43,62,0,E02000023,30,E02000018,24,E02000019,21,E02000009,26,E02000007,25,E02000010,24
E02000014,909,703,0,11,102,0,E02000866,35,E02000010,34,E02000112,33,E02000007,34,E02000018,25,E02000015,21
E02000015,683,592,0,9,60,0,E02000010,21,E02000014,21,E02000007,20,E02000007,22,E02000016,20,E02000021,20
E02000016,1528,1703,0,219,220,0,E02000022,34,E02000008,32,E02000017,32,E02000022,72,E02000017,62,E02000009,24
E02000017,1123,939,0,90,153,0,E02000016,62,E02000012,31,E02000020,26,E02000016,32,E02000012,26,E02000020,21
E02000018,1028,749,0,16,79,0,E02000763,67,E02000023,30,E02000019,26,E02000012,28,E02000022,25,E02000013,24
E02000019,892,864,0,41,81,0,E02000021,25,E02000020,22,E02000491,21,E02000023,40,E02000020,32,E02000022,29
E02000020,1232,1091,0,76,153,0,E02000023,37,E02000019,32,E02000016,24,E02000016,31,E02000022,29,E02000017,26
E02000021,868,755,0,30,102,0,E02000007,22,E02000015,20,E02000018,20,E02000019,25,E02000018,20,E02000007,18
E02000022,1092,731,0,52,91,0,E02000016,72,E02000023,49,E02000007,47,E02000016,34,E02000009,24,E02000017,24
E02000023,774,726,0,47,59,0,E02000019,40,E02000020,26,E02000021,17,E02000022,49,E02000020,37,E02000016,31
E02000024,1127,1025,0,114,117,0,E02000028,40,E02000027,27,E02000025,25,E02000027,47,E02000029,28,E02000028,25
E02000025,882,889,0,63,66,0,E02000028,25,E02000026,23,E02000027,23,E02000028,42,E02000029,37,E02000309,33
E02000026,651,582,0,45,39,0,E02000025,20,E02000029,18,E02000287,16,E02000029,36,E02000025,23,E02000027,13
E02000027,800,754,0,43,65,0,E02000024,47,E02000030,18,E02000025,17,E02000024,27,E02000025,23,E02000030,23
E02000028,890,708,0,42,70,0,E02000025,42,E02000569,35,E02000024,25,E02000024,40,E02000025,25,E02000031,21
E02000029,946,951,0,69,124,0,E02000025,37,E02000026,36,E02000024,28,E02000033,34,E02000028,25,E02000024,23
E02000030,837,769,0,67,71,0,E02000054,24,E02000027,23,E02000048,16,E02000039,27,E02000042,20,E02000027,18
E02000031,733,879,0,57,95,0,E02000035,29,E02000028,21,E02000025,19,E02000035,46,E02000034,45,E02000025,22
E02000032,659,512,0,13,64,0,E02000296,38,E02000304,31,E02000287,27,E02000296,27,E02000304,18,E02000287,14
E02000033,797,690,0,41,54,0,E02000029,34,E02000038,23,E02000034,14,E02000296,43,E02000046,24,E02006953,20
E02000034,1041,847,0,33,109,0,E02000031,45,E02000035,34,E02000042,32,E02000042,56,E02000035,24,E02000038,21
E02000035,1213,1205,0,80,208,0,E02000042,66,E02000031,46,E02006793,28,E02000042,45,E02000034,34,E02000294,33
E02000036,1044,832,0,61,111,0,E02000037,46,E02000041,40,E02000039,22,E02000037,51,E02000041,37,E02000055,24
E02000037,884,854,0,107,99,0,E02000036,51,E02000041,35,E02004908,31,E02000444,60,E02000036,46,E02000041,30
E02000038,1144,1092,0,91,128,0,E02000045,29,E02000034,21,E02000035,21,E02000042,48,E02000045,31,E02000034,25
E02000039,686,758,0,58,90,0,E02000040,33,E02000030,27,E02000044,17,E02000306,50,E02000048,37,E02000059,25
